Table with column headers in rows 3 and 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2024 Poverty and Median Household Income Estimates - Counties, States, and National
Source: U.S. Census Bureau, Small Area Income and Poverty Estimates (SAIPE) Program January 2026, Project No. P-7502872 / Approval CBDRB-FY25-0429.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Geographic Information,,,,All Ages,,,,,,Age 0-17,,,,,,Age 5-17 in Families,,,,,,Median Household Income,,,Age 0-4,,,,,
State FIPS Code,County FIPS Code,Postal Code,Name,"Poverty Estimate, All Ages",90% CI Lower Bound,90% CI Upper Bound,"Poverty Percent, All Ages",90% CI Lower Bound,90% CI Upper Bound,"Poverty Estimate, Age 0-17",90% CI Lower Bound,90% CI Upper Bound,"Poverty Percent, Age 0-17",90% CI Lower Bound,90% CI Upper Bound,"Poverty Estimate, Age 5-17 in Families",90% CI Lower Bound,90% CI Upper Bound,"Poverty Percent, Age 5-17 in Families",90% CI Lower Bound,90% CI Upper Bound,Median Household Income,90% CI Lower Bound,90% CI Upper Bound,"Poverty Estimate, Age 0-4",90% CI Lower Bound,90% CI Upper Bound,"Poverty Percent, Age 0-4",90% CI Lower Bound,90% CI Upper Bound
27,129,MN,Renville County,"1,521","1,215","1,827",10.8,8.6,13.0,427,297,557,12.9,9.0,16.8,299,196,402,12.4,8.1,16.7,"74,186","67,523","80,849",.,.,.,.,.,.
27,131,MN,Rice County,"6,523","5,307","7,739",10.6,8.6,12.6,"1,614","1,174","2,054",11.3,8.2,14.4,"1,109",755,"1,463",10.5,7.1,13.9,"83,933","77,595","90,271",.,.,.,.,.,.
27,133,MN,Rock County,833,651,"1,015",8.9,6.9,10.9,177,113,241,8.4,5.3,11.5,123,72,174,7.4,4.3,10.5,"77,403","69,432","85,374",.,.,.,.,.,.
27,135,MN,Roseau County,"1,327","1,057","1,597",8.8,7.0,10.6,333,234,432,9.4,6.6,12.2,189,107,271,7.1,4.0,10.2,"76,342","69,633","83,051",.,.,.,.,.,.
27,137,MN,St. Louis County,"24,564","21,771","27,357",12.7,11.3,14.1,"3,770","2,699","4,841",10.6,7.6,13.6,"2,408","1,530","3,286",9.2,5.9,12.5,"69,200","66,653","71,747",.,.,.,.,.,.
27,139,MN,Scott County,"8,303","6,761","9,845",5.3,4.3,6.3,"2,113","1,448","2,778",5.5,3.8,7.2,"1,460",908,"2,012",4.9,3.0,6.8,"121,666","111,670","131,662",.,.,.,.,.,.
27,141,MN,Sherburne County,"5,896","4,693","7,099",5.9,4.7,7.1,"1,555","1,009","2,101",6.1,4.0,8.2,"1,081",640,"1,522",5.6,3.3,7.9,"110,997","104,027","117,967",.,.,.,.,.,.
27,143,MN,Sibley County,"1,212",928,"1,496",8.1,6.2,10.0,290,190,390,8.7,5.7,11.7,192,114,270,7.9,4.7,11.1,"79,069","72,606","85,532",.,.,.,.,.,.
27,145,MN,Stearns County,"18,539","15,838","21,240",11.7,10.0,13.4,"4,889","3,606","6,172",12.9,9.5,16.3,"3,202","2,149","4,255",11.5,7.7,15.3,"76,793","73,051","80,535",.,.,.,.,.,.
27,147,MN,Steele County,"3,079","2,421","3,737",8.3,6.5,10.1,785,514,"1,056",9.0,5.9,12.1,549,331,767,8.3,5.0,11.6,"83,225","74,741","91,709",.,.,.,.,.,.
27,149,MN,Stevens County,993,816,"1,170",10.9,9.0,12.8,146,96,196,6.7,4.4,9.0,89,51,127,5.7,3.2,8.2,"73,103","65,598","80,608",.,.,.,.,.,.
27,151,MN,Swift County,"1,238","1,057","1,419",13.2,11.3,15.1,353,282,424,16.5,13.2,19.8,218,160,276,13.9,10.2,17.6,"65,656","60,115","71,197",.,.,.,.,.,.
27,153,MN,Todd County,"2,691","2,093","3,289",10.5,8.2,12.8,807,516,"1,098",12.7,8.1,17.3,528,295,761,11.3,6.3,16.3,"70,856","66,574","75,138",.,.,.,.,.,.
27,155,MN,Traverse County,397,304,490,13.1,10.0,16.2,115,75,155,17.1,11.2,23.0,80,47,113,16.1,9.5,22.7,"68,666","60,711","76,621",.,.,.,.,.,.
27,157,MN,Wabasha County,"1,480","1,143","1,817",7.0,5.4,8.6,327,205,449,7.2,4.5,9.9,232,133,331,6.7,3.8,9.6,"81,105","75,671","86,539",.,.,.,.,.,.
27,159,MN,Wadena County,"2,136","1,781","2,491",15.1,12.6,17.6,606,423,789,16.1,11.2,21.0,426,280,572,15.4,10.1,20.7,"61,394","56,700","66,088",.,.,.,.,.,.
27,161,MN,Waseca County,"1,587","1,245","1,929",8.9,7.0,10.8,380,243,517,9.4,6.0,12.8,266,150,382,8.7,4.9,12.5,"79,832","73,732","85,932",.,.,.,.,.,.
27,163,MN,Washington County,"13,767","11,617","15,917",4.9,4.1,5.7,"2,850","1,893","3,807",4.3,2.8,5.8,"1,971","1,192","2,750",3.9,2.4,5.4,"113,057","107,278","118,836",.,.,.,.,.,.
27,165,MN,Watonwan County,"1,167",892,"1,442",10.6,8.1,13.1,383,251,515,12.7,8.3,17.1,260,153,367,12.5,7.4,17.6,"71,892","68,002","75,782",.,.,.,.,.,.
27,167,MN,Wilkin County,527,394,660,8.5,6.3,10.7,128,83,173,9.3,6.0,12.6,90,53,127,8.5,5.1,11.9,"80,591","72,273","88,909",.,.,.,.,.,.
27,169,MN,Winona County,"6,171","5,109","7,233",13.3,11.0,15.6,718,458,978,8.7,5.6,11.8,461,255,667,7.3,4.0,10.6,"74,003","67,580","80,426",.,.,.,.,.,.
27,171,MN,Wright County,"9,523","8,061","10,985",6.2,5.2,7.2,"2,130","1,577","2,683",5.3,3.9,6.7,"1,381",936,"1,826",4.6,3.1,6.1,"102,130","96,691","107,569",.,.,.,.,.,.
27,173,MN,Yellow Medicine County,906,722,"1,090",9.8,7.8,11.8,230,150,310,10.9,7.1,14.7,158,93,223,10.1,6.0,14.2,"80,444","75,473","85,415",.,.,.,.,.,.
28,000,MS,Mississippi,"508,188","492,847","523,529",17.8,17.3,18.3,"165,015","157,034","172,996",25.0,23.8,26.2,"119,087","111,847","126,327",24.3,22.8,25.8,"59,301","57,815","60,787","43,563","40,296","46,830",26.0,24.1,27.9
28,001,MS,Adams County,"6,741","5,109","8,373",24.0,18.2,29.8,"1,952","1,328","2,576",36.0,24.5,47.5,"1,446",935,"1,957",35.7,23.1,48.3,"45,515","40,603","50,427",.,.,.,.,.,.
28,003,MS,Alcorn County,"5,169","4,037","6,301",15.4,12.0,18.8,"1,481",980,"1,982",20.1,13.3,26.9,"1,104",685,"1,523",20.2,12.5,27.9,"54,635","49,135","60,135",.,.,.,.,.,.
28,005,MS,Amite County,"2,712","2,145","3,279",22.0,17.4,26.6,723,509,937,29.7,20.9,38.5,547,369,725,29.8,20.1,39.5,"48,604","42,936","54,272",.,.,.,.,.,.
28,007,MS,Attala County,"3,296","2,505","4,087",19.5,14.8,24.2,"1,227",838,"1,616",29.1,19.9,38.3,884,570,"1,198",27.6,17.8,37.4,"49,806","44,747","54,865",.,.,.,.,.,.
28,009,MS,Benton County,"1,486","1,128","1,844",19.9,15.1,24.7,448,300,596,29.1,19.5,38.7,334,209,459,29.5,18.4,40.6,"49,106","43,754","54,458",.,.,.,.,.,.
28,011,MS,Bolivar County,"8,098","6,972","9,224",30.0,25.8,34.2,"3,262","2,725","3,799",47.6,39.8,55.4,"2,432","2,016","2,848",47.6,39.5,55.7,"44,329","39,900","48,758",.,.,.,.,.,.
28,013,MS,Calhoun County,"2,317","1,826","2,808",18.6,14.7,22.5,659,444,874,24.2,16.3,32.1,484,307,661,24.9,15.8,34.0,"46,890","42,532","51,248",.,.,.,.,.,.
28,015,MS,Carroll County,"1,381","1,027","1,735",15.8,11.8,19.8,349,232,466,22.9,15.2,30.6,259,160,358,22.1,13.7,30.5,"55,737","49,397","62,077",.,.,.,.,.,.
28,017,MS,Chickasaw County,"3,747","3,027","4,467",23.1,18.7,27.5,"1,266",883,"1,649",30.8,21.5,40.1,918,605,"1,231",30.5,20.1,40.9,"46,080","40,771","51,389",.,.,.,.,.,.
28,019,MS,Choctaw County,"1,639","1,280","1,998",20.6,16.1,25.1,463,309,617,27.3,18.2,36.4,329,204,454,26.1,16.2,36.0,"53,406","47,387","59,425",.,.,.,.,.,.
28,021,MS,Claiborne County,"2,498","1,980","3,016",33.3,26.4,40.2,827,589,"1,065",45.2,32.2,58.2,623,426,820,46.5,31.8,61.2,"38,548","33,930","43,166",.,.,.,.,.,.
28,023,MS,Clarke County,"2,935","2,236","3,634",19.6,14.9,24.3,836,559,"1,113",26.2,17.5,34.9,601,370,832,25.6,15.7,35.5,"52,695","46,493","58,897",.,.,.,.,.,.
28,025,MS,Clay County,"3,697","2,807","4,587",20.6,15.6,25.6,"1,247",843,"1,651",31.3,21.2,41.4,901,572,"1,230",31.4,19.9,42.9,"46,829","41,405","52,253",.,.,.,.,.,.
28,027,MS,Coahoma County,"6,835","5,707","7,963",34.9,29.1,40.7,"2,435","1,809","3,061",46.9,34.8,59.0,"1,725","1,212","2,238",44.9,31.6,58.2,"37,206","32,972","41,440",.,.,.,.,.,.
28,029,MS,Copiah County,"5,191","3,927","6,455",19.5,14.7,24.3,"1,731","1,182","2,280",28.9,19.7,38.1,"1,323",880,"1,766",30.3,20.2,40.4,"52,118","46,629","57,607",.,.,.,.,.,.
28,031,MS,Covington County,"3,540","2,792","4,288",20.0,15.8,24.2,"1,156",756,"1,556",26.9,17.6,36.2,849,513,"1,185",27.0,16.3,37.7,"51,171","45,176","57,166",.,.,.,.,.,.
28,033,MS,DeSoto County,"18,652","15,651","21,653",9.6,8.1,11.1,"6,262","4,814","7,710",13.4,10.3,16.5,"4,506","3,317","5,695",12.5,9.2,15.8,"85,117","79,877","90,357",.,.,.,.,.,.
28,035,MS,Forrest County,"15,560","12,688","18,432",21.4,17.4,25.4,"4,794","3,427","6,161",27.8,19.9,35.7,"3,335","2,262","4,408",26.2,17.8,34.6,"49,352","46,054","52,650",.,.,.,.,.,.
28,037,MS,Franklin County,"1,400","1,065","1,735",18.8,14.3,23.3,447,300,594,26.2,17.6,34.8,322,201,443,25.7,16.1,35.3,"53,267","47,194","59,340",.,.,.,.,.,.
28,039,MS,George County,"3,579","2,747","4,411",14.1,10.8,17.4,"1,349",892,"1,806",20.2,13.4,27.0,980,605,"1,355",19.9,12.3,27.5,"66,266","59,389","73,143",.,.,.,.,.,.
28,041,MS,Greene County,"2,390","1,835","2,945",22.0,16.9,27.1,570,394,746,23.1,16.0,30.2,411,264,558,23.3,15.0,31.6,"56,231","49,723","62,739",.,.,.,.,.,.
28,043,MS,Grenada County,"3,992","3,153","4,831",19.4,15.3,23.5,"1,379",952,"1,806",27.9,19.3,36.5,"1,046",695,"1,397",28.0,18.6,37.4,"50,210","44,769","55,651",.,.,.,.,.,.
28,045,MS,Hancock County,"7,617","6,259","8,975",16.5,13.6,19.4,"1,796","1,282","2,310",21.1,15.1,27.1,"1,372",954,"1,790",22.0,15.3,28.7,"62,485","55,999","68,971",.,.,.,.,.,.
28,047,MS,Harrison County,"33,275","28,953","37,597",15.9,13.8,18.0,"11,180","8,714","13,646",23.2,18.1,28.3,"8,154","6,193","10,115",22.7,17.2,28.2,"63,362","59,605","67,119",.,.,.,.,.,.
28,049,MS,Hinds County,"45,418","39,881","50,955",22.2,19.5,24.9,"15,061","12,196","17,926",31.6,25.6,37.6,"10,802","8,512","13,092",30.7,24.2,37.2,"51,926","47,818","56,034",.,.,.,.,.,.
28,051,MS,Holmes County,"4,999","3,872","6,126",34.3,26.6,42.0,"1,706","1,203","2,209",46.8,33.0,60.6,"1,296",893,"1,699",48.3,33.3,63.3,"38,543","35,528","41,558",.,.,.,.,.,.
28,053,MS,Humphreys County,"2,343","1,792","2,894",33.3,25.5,41.1,885,614,"1,156",51.8,36.0,67.6,640,415,865,49.8,32.3,67.3,"39,287","35,454","43,120",.,.,.,.,.,.
28,055,MS,Issaquena County,412,299,525,55.7,40.4,71.0,30,18,41,73.2,44.5,100.0,23,13,30,76.7,43.3,100.0,"38,770","34,080","43,460",.,.,.,.,.,.
28,057,MS,Itawamba County,"4,221","3,552","4,890",18.7,15.7,21.7,"1,232",984,"1,480",24.7,19.7,29.7,864,659,"1,069",23.8,18.2,29.4,"58,396","51,800","64,992",.,.,.,.,.,.
28,059,MS,Jackson County,"20,113","16,876","23,350",13.8,11.6,16.0,"6,408","4,968","7,848",19.8,15.3,24.3,"4,647","3,510","5,784",19.1,14.4,23.8,"69,544","65,188","73,900",.,.,.,.,.,.
28,061,MS,Jasper County,"3,088","2,395","3,781",19.6,15.2,24.0,"1,000",670,"1,330",28.1,18.8,37.4,725,450,"1,000",27.7,17.2,38.2,"49,500","43,640","55,360",.,.,.,.,.,.
28,063,MS,Jefferson County,"1,999","1,523","2,475",30.5,23.2,37.8,595,402,788,40.4,27.3,53.5,439,280,598,38.6,24.6,52.6,"39,950","35,473","44,427",.,.,.,.,.,.
28,065,MS,Jefferson Davis County,"2,617","2,003","3,231",23.9,18.3,29.5,780,530,"1,030",35.9,24.4,47.4,590,385,795,36.7,24.0,49.4,"41,586","36,777","46,395",.,.,.,.,.,.
28,067,MS,Jones County,"12,338","10,192","14,484",19.2,15.9,22.5,"4,433","3,426","5,440",28.0,21.7,34.3,"3,271","2,452","4,090",28.0,21.0,35.0,"53,046","48,777","57,315",.,.,.,.,.,.
28,069,MS,Kemper County,"1,963","1,496","2,430",25.4,19.4,31.4,513,356,670,35.0,24.3,45.7,369,237,501,33.8,21.7,45.9,"43,991","39,063","48,919",.,.,.,.,.,.
28,071,MS,Lafayette County,"9,407","7,908","10,906",17.9,15.1,20.7,"1,463",981,"1,945",14.0,9.4,18.6,"1,001",602,"1,400",13.0,7.8,18.2,"67,571","61,003","74,139",.,.,.,.,.,.
28,073,MS,Lamar County,"7,646","6,192","9,100",11.6,9.4,13.8,"2,373","1,720","3,026",15.3,11.1,19.5,"1,701","1,138","2,264",14.5,9.7,19.3,"79,568","74,218","84,918",.,.,.,.,.,.
28,075,MS,Lauderdale County,"13,499","10,933","16,065",20.0,16.2,23.8,"4,475","3,248","5,702",28.3,20.5,36.1,"3,275","2,252","4,298",28.1,19.3,36.9,"56,828","51,459","62,197",.,.,.,.,.,.
28,077,MS,Lawrence County,"2,308","1,845","2,771",19.9,15.9,23.9,724,507,941,26.4,18.5,34.3,554,377,731,27.1,18.4,35.8,"52,187","45,988","58,386",.,.,.,.,.,.
28,079,MS,Leake County,"4,359","3,439","5,279",20.8,16.4,25.2,"1,517","1,057","1,977",30.5,21.2,39.8,"1,080",690,"1,470",30.7,19.6,41.8,"57,130","53,318","60,942",.,.,.,.,.,.
28,081,MS,Lee County,"13,266","11,299","15,233",16.2,13.8,18.6,"4,378","3,352","5,404",22.1,16.9,27.3,"3,159","2,299","4,019",21.3,15.5,27.1,"61,826","55,493","68,159",.,.,.,.,.,.
28,083,MS,Leflore County,"7,780","6,209","9,351",31.2,24.9,37.5,"3,017","2,162","3,872",44.2,31.7,56.7,"2,134","1,417","2,851",41.5,27.6,55.4,"39,033","35,270","42,796",.,.,.,.,.,.
28,085,MS,Lincoln County,"5,577","4,247","6,907",16.2,12.3,20.1,"1,700","1,160","2,240",22.0,15.0,29.0,"1,213",775,"1,651",21.1,13.5,28.7,"57,959","52,303","63,615",.,.,.,.,.,.
28,087,MS,Lowndes County,"9,678","7,583","11,773",17.5,13.7,21.3,"3,470","2,415","4,525",26.1,18.2,34.0,"2,490","1,594","3,386",25.4,16.2,34.6,"56,293","51,033","61,553",.,.,.,.,.,.
28,089,MS,Madison County,"11,122","8,861","13,383",9.9,7.9,11.9,"3,648","2,531","4,765",13.7,9.5,17.9,"2,530","1,625","3,435",12.7,8.2,17.2,"90,259","83,626","96,892",.,.,.,.,.,.
28,091,MS,Marion County,"4,629","3,595","5,663",19.8,15.4,24.2,"1,523","1,072","1,974",28.7,20.2,37.2,"1,143",772,"1,514",28.3,19.1,37.5,"49,639","44,053","55,225",.,.,.,.,.,.
28,093,MS,Marshall County,"6,628","5,284","7,972",20.4,16.3,24.5,"1,939","1,336","2,542",28.0,19.3,36.7,"1,408",907,"1,909",27.4,17.6,37.2,"54,244","48,120","60,368",.,.,.,.,.,.
28,095,MS,Monroe County,"5,982","4,929","7,035",18.2,15.0,21.4,"1,775","1,330","2,220",24.5,18.4,30.6,"1,266",893,"1,639",23.8,16.8,30.8,"49,747","45,185","54,309",.,.,.,.,.,.
28,097,MS,Montgomery County,"2,127","1,650","2,604",22.8,17.7,27.9,721,508,934,35.0,24.6,45.4,545,369,721,37.2,25.2,49.2,"47,011","41,415","52,607",.,.,.,.,.,.
28,099,MS,Neshoba County,"5,260","4,068","6,452",18.6,14.4,22.8,"2,027","1,399","2,655",26.3,18.1,34.5,"1,380",869,"1,891",24.9,15.7,34.1,"59,316","54,155","64,477",.,.,.,.,.,.
28,101,MS,Newton County,"4,360","3,599","5,121",21.6,17.8,25.4,"1,565","1,225","1,905",30.9,24.2,37.6,"1,197",922,"1,472",33.0,25.4,40.6,"49,159","43,524","54,794",.,.,.,.,.,.
28,103,MS,Noxubee County,"2,646","2,035","3,257",27.4,21.1,33.7,917,620,"1,214",38.0,25.7,50.3,681,439,923,38.9,25.1,52.7,"41,273","36,341","46,205",.,.,.,.,.,.
28,105,MS,Oktibbeha County,"8,985","7,169","10,801",19.4,15.5,23.3,"2,132","1,426","2,838",23.8,15.9,31.7,"1,415",840,"1,990",22.2,13.2,31.2,"54,391","48,565","60,217",.,.,.,.,.,.
28,107,MS,Panola County,"6,709","5,224","8,194",20.7,16.1,25.3,"2,456","1,743","3,169",31.5,22.4,40.6,"1,857","1,281","2,433",32.5,22.4,42.6,"51,437","48,410","54,464",.,.,.,.,.,.
28,109,MS,Pearl River County,"9,507","7,755","11,259",16.5,13.5,19.5,"2,958","2,113","3,803",22.2,15.8,28.6,"2,019","1,320","2,718",20.3,13.3,27.3,"56,958","51,686","62,230",.,.,.,.,.,.
28,111,MS,Perry County,"2,010","1,532","2,488",17.8,13.6,22.0,617,415,819,25.3,17.0,33.6,447,284,610,25.0,15.9,34.1,"53,764","47,423","60,105",.,.,.,.,.,.
28,113,MS,Pike County,"8,103","6,293","9,913",21.4,16.6,26.2,"2,968","1,955","3,981",31.0,20.4,41.6,"2,173","1,340","3,006",30.3,18.7,41.9,"46,164","41,171","51,157",.,.,.,.,.,.
28,115,MS,Pontotoc County,"4,712","3,791","5,633",14.9,12.0,17.8,"1,736","1,312","2,160",21.8,16.5,27.1,"1,173",796,"1,550",20.1,13.6,26.6,"59,898","53,269","66,527",.,.,.,.,.,.
28,117,MS,Prentiss County,"4,862","3,995","5,729",20.3,16.7,23.9,"1,248",872,"1,624",22.8,15.9,29.7,904,595,"1,213",22.6,14.9,30.3,"48,711","44,322","53,100",.,.,.,.,.,.
28,119,MS,Quitman County,"1,726","1,339","2,113",31.9,24.7,39.1,563,372,754,44.3,29.3,59.3,399,242,556,43.8,26.5,61.1,"37,474","33,020","41,928",.,.,.,.,.,.
28,121,MS,Rankin County,"13,901","11,045","16,757",8.9,7.1,10.7,"3,796","2,600","4,992",11.0,7.5,14.5,"2,769","1,789","3,749",10.7,6.9,14.5,"84,139","78,356","89,922",.,.,.,.,.,.
28,123,MS,Scott County,"5,258","4,178","6,338",19.2,15.3,23.1,"2,308","1,686","2,930",30.3,22.1,38.5,"1,555","1,023","2,087",28.6,18.8,38.4,"52,147","46,603","57,691",.,.,.,.,.,.
28,125,MS,Sharkey County,"1,036",785,"1,287",32.6,24.7,40.5,382,254,510,51.6,34.3,68.9,278,173,383,52.7,32.7,72.7,"40,518","35,607","45,429",.,.,.,.,.,.
28,127,MS,Simpson County,"4,966","3,873","6,059",19.7,15.4,24.0,"1,616","1,153","2,079",28.7,20.5,36.9,"1,143",755,"1,531",27.7,18.3,37.1,"55,167","49,706","60,628",.,.,.,.,.,.
28,129,MS,Smith County,"2,323","1,823","2,823",16.7,13.1,20.3,772,560,984,24.5,17.8,31.2,545,366,724,23.5,15.8,31.2,"57,932","51,167","64,697",.,.,.,.,.,.
28,131,MS,Stone County,"2,874","2,190","3,558",16.0,12.2,19.8,883,592,"1,174",22.1,14.8,29.4,621,388,854,20.9,13.1,28.7,"62,350","55,761","68,939",.,.,.,.,.,.
28,133,MS,Sunflower County,"5,997","4,675","7,319",29.8,23.2,36.4,"1,983","1,423","2,543",40.6,29.1,52.1,"1,498","1,065","1,931",41.5,29.5,53.5,"41,873","37,160","46,586",.,.,.,.,.,.
28,135,MS,Tallahatchie County,"3,225","2,572","3,878",32.3,25.8,38.8,965,707,"1,223",44.0,32.2,55.8,661,439,883,40.4,26.8,54.0,"43,074","37,852","48,296",.,.,.,.,.,.
28,137,MS,Tate County,"4,086","3,147","5,025",15.0,11.5,18.5,"1,132",767,"1,497",18.9,12.8,25.0,837,541,"1,133",18.7,12.1,25.3,"68,786","62,225","75,347",.,.,.,.,.,.
28,139,MS,Tippah County,"3,379","2,612","4,146",16.2,12.5,19.9,"1,033",719,"1,347",21.2,14.7,27.7,747,491,"1,003",20.8,13.7,27.9,"53,948","48,343","59,553",.,.,.,.,.,.
28,141,MS,Tishomingo County,"2,859","2,296","3,422",15.7,12.6,18.8,741,508,974,19.1,13.1,25.1,530,333,727,18.3,11.5,25.1,"56,250","51,537","60,963",.,.,.,.,.,.
28,143,MS,Tunica County,"2,256","1,718","2,794",25.0,19.1,30.9,970,650,"1,290",39.8,26.7,52.9,709,442,976,39.5,24.6,54.4,"45,292","39,938","50,646",.,.,.,.,.,.
28,145,MS,Union County,"3,924","3,109","4,739",14.0,11.1,16.9,"1,252",893,"1,611",18.5,13.2,23.8,929,638,"1,220",18.3,12.6,24.0,"58,849","53,227","64,471",.,.,.,.,.,.
28,147,MS,Walthall County,"3,050","2,338","3,762",22.3,17.1,27.5,"1,030",718,"1,342",34.0,23.7,44.3,779,524,"1,034",34.9,23.4,46.4,"46,285","41,357","51,213",.,.,.,.,.,.
28,149,MS,Warren County,"7,818","6,295","9,341",18.8,15.1,22.5,"2,865","2,059","3,671",30.0,21.6,38.4,"2,005","1,326","2,684",27.9,18.5,37.3,"60,686","54,667","66,705",.,.,.,.,.,.
28,151,MS,Washington County,"11,875","9,794","13,956",29.4,24.2,34.6,"4,496","3,426","5,566",43.6,33.2,54.0,"3,394","2,532","4,256",44.2,33.0,55.4,"43,941","38,978","48,904",.,.,.,.,.,.
28,153,MS,Wayne County,"4,191","3,239","5,143",21.3,16.5,26.1,"1,583","1,102","2,064",32.8,22.8,42.8,"1,094",702,"1,486",30.5,19.6,41.4,"48,582","43,195","53,969",.,.,.,.,.,.
28,155,MS,Webster County,"1,504","1,131","1,877",15.3,11.5,19.1,497,322,672,20.8,13.5,28.1,366,220,512,20.8,12.5,29.1,"57,401","50,704","64,098",.,.,.,.,.,.
28,157,MS,Wilkinson County,"2,158","1,634","2,682",31.6,23.9,39.3,554,378,730,37.7,25.8,49.6,405,260,550,36.5,23.4,49.6,"38,349","33,737","42,961",.,.,.,.,.,.
28,159,MS,Winston County,"3,738","2,893","4,583",22.0,17.0,27.0,"1,149",796,"1,502",31.2,21.6,40.8,845,546,"1,144",30.6,19.8,41.4,"50,729","44,900","56,558",.,.,.,.,.,.
28,161,MS,Yalobusha County,"2,260","1,710","2,810",18.7,14.2,23.2,731,484,978,28.1,18.6,37.6,526,323,729,27.7,17.0,38.4,"49,848","44,216","55,480",.,.,.,.,.,.
28,163,MS,Yazoo County,"5,365","4,008","6,722",25.5,19.0,32.0,"1,883","1,254","2,512",35.4,23.6,47.2,"1,156",671,"1,641",29.4,17.1,41.7,"45,496","40,100","50,892",.,.,.,.,.,.
29,000,MO,Missouri,"740,873","722,430","759,316",12.2,11.9,12.5,"205,264","194,981","215,547",15.3,14.5,16.1,"141,975","132,491","151,459",14.2,13.2,15.2,"71,583","70,889","72,277","56,602","52,264","60,940",16.7,15.4,18.0
29,001,MO,Adair County,"5,021","4,224","5,818",21.9,18.4,25.4,852,606,"1,098",18.5,13.2,23.8,562,361,763,17.3,11.1,23.5,"58,548","53,944","63,152",.,.,.,.,.,.
29,003,MO,Andrew County,"1,394","1,039","1,749",7.8,5.8,9.8,355,229,481,8.9,5.7,12.1,257,154,360,8.3,5.0,11.6,"78,305","71,044","85,566",.,.,.,.,.,.
29,005,MO,Atchison County,613,473,753,12.1,9.3,14.9,157,109,205,15.4,10.7,20.1,111,71,151,14.2,9.1,19.3,"61,928","54,647","69,209",.,.,.,.,.,.
29,007,MO,Audrain County,"3,585","2,890","4,280",15.4,12.4,18.4,"1,025",698,"1,352",19.4,13.2,25.6,676,403,949,17.8,10.6,25.0,"59,562","53,239","65,885",.,.,.,.,.,.
29,009,MO,Barry County,"5,528","4,332","6,724",15.7,12.3,19.1,"1,706","1,168","2,244",21.4,14.7,28.1,"1,262",829,"1,695",21.7,14.2,29.2,"61,057","56,238","65,876",.,.,.,.,.,.
29,011,MO,Barton County,"1,596","1,210","1,982",13.7,10.4,17.0,518,344,692,19.7,13.1,26.3,358,216,500,18.8,11.3,26.3,"57,158","52,618","61,698",.,.,.,.,.,.
29,013,MO,Bates County,"1,782","1,317","2,247",11.1,8.2,14.0,565,371,759,15.5,10.2,20.8,413,253,573,15.3,9.4,21.2,"66,501","62,551","70,451",.,.,.,.,.,.
29,015,MO,Benton County,"3,833","3,248","4,418",18.8,15.9,21.7,729,482,976,21.0,13.9,28.1,546,335,757,20.8,12.8,28.8,"49,634","45,483","53,785",.,.,.,.,.,.
29,017,MO,Bollinger County,"1,514","1,159","1,869",14.5,11.1,17.9,450,297,603,20.0,13.2,26.8,328,201,455,20.3,12.4,28.2,"65,175","59,197","71,153",.,.,.,.,.,.
29,019,MO,Boone County,"25,917","22,989","28,845",14.3,12.7,15.9,"4,377","3,192","5,562",11.8,8.6,15.0,"3,068","2,114","4,022",11.2,7.7,14.7,"80,041","75,773","84,309",.,.,.,.,.,.
29,021,MO,Buchanan County,"10,793","8,950","12,636",13.5,11.2,15.8,"2,860","1,908","3,812",15.9,10.6,21.2,"2,034","1,278","2,790",15.6,9.8,21.4,"63,736","59,020","68,452",.,.,.,.,.,.
29,023,MO,Butler County,"8,300","6,864","9,736",20.3,16.8,23.8,"2,618","1,916","3,320",27.8,20.3,35.3,"1,823","1,232","2,414",26.4,17.8,35.0,"48,191","43,343","53,039",.,.,.,.,.,.
29,025,MO,Caldwell County,951,717,"1,185",10.9,8.2,13.6,290,187,393,14.1,9.1,19.1,196,114,278,12.9,7.5,18.3,"65,282","59,042","71,522",.,.,.,.,.,.
29,027,MO,Callaway County,"4,949","4,087","5,811",11.8,9.7,13.9,"1,345","1,026","1,664",15.1,11.5,18.7,913,649,"1,177",14.1,10.0,18.2,"71,868","65,381","78,355",.,.,.,.,.,.
29,029,MO,Camden County,"5,047","4,031","6,063",11.6,9.3,13.9,"1,093",711,"1,475",15.4,10.0,20.8,766,439,"1,093",14.5,8.3,20.7,"68,312","63,590","73,034",.,.,.,.,.,.
29,031,MO,Cape Girardeau County,"9,889","8,165","11,613",12.4,10.2,14.6,"2,172","1,468","2,876",12.5,8.4,16.6,"1,482",931,"2,033",11.6,7.3,15.9,"66,862","61,765","71,959",.,.,.,.,.,.
29,033,MO,Carroll County,"1,183",927,"1,439",14.3,11.2,17.4,329,230,428,18.2,12.7,23.7,239,160,318,17.5,11.7,23.3,"64,304","57,231","71,377",.,.,.,.,.,.
29,035,MO,Carter County,909,674,"1,144",17.1,12.7,21.5,327,211,443,26.1,16.8,35.4,243,144,342,26.8,15.9,37.7,"50,268","45,586","54,950",.,.,.,.,.,.
29,037,MO,Cass County,"7,878","6,180","9,576",7.0,5.5,8.5,"2,117","1,441","2,793",8.3,5.6,11.0,"1,481",939,"2,023",7.7,4.9,10.5,"83,378","78,759","87,997",.,.,.,.,.,.
