series_id,year,period,value,area_type_code,area_code,measure_code,seasonal,srd_code,area_text,measure_text
LAUCN010470000000003,2025,M13,0.046,F,CN0104700000000,03,U,01,"Dallas County, AL",unemployment rate
LAUCN010490000000003,2025,M13,0.025,F,CN0104900000000,03,U,01,"DeKalb County, AL",unemployment rate
LAUCN010510000000003,2025,M13,0.023,F,CN0105100000000,03,U,01,"Elmore County, AL",unemployment rate
LAUCN010530000000003,2025,M13,0.035,F,CN0105300000000,03,U,01,"Escambia County, AL",unemployment rate
LAUCN010550000000003,2025,M13,0.03,F,CN0105500000000,03,U,01,"Etowah County, AL",unemployment rate
LAUCN010570000000003,2025,M13,0.027999999999999997,F,CN0105700000000,03,U,01,"Fayette County, AL",unemployment rate
LAUCN010590000000003,2025,M13,0.027000000000000003,F,CN0105900000000,03,U,01,"Franklin County, AL",unemployment rate
LAUCN010610000000003,2025,M13,0.027000000000000003,F,CN0106100000000,03,U,01,"Geneva County, AL",unemployment rate
LAUCN010630000000003,2025,M13,0.065,F,CN0106300000000,03,U,01,"Greene County, AL",unemployment rate
LAUCN010650000000003,2025,M13,0.042,F,CN0106500000000,03,U,01,"Hale County, AL",unemployment rate
LAUCN010670000000003,2025,M13,0.027999999999999997,F,CN0106700000000,03,U,01,"Henry County, AL",unemployment rate
LAUCN010690000000003,2025,M13,0.027999999999999997,F,CN0106900000000,03,U,01,"Houston County, AL",unemployment rate
LAUCN010710000000003,2025,M13,0.033,F,CN0107100000000,03,U,01,"Jackson County, AL",unemployment rate
LAUCN010730000000003,2025,M13,0.028999999999999998,F,CN0107300000000,03,U,01,"Jefferson County, AL",unemployment rate
LAUCN010750000000003,2025,M13,0.032,F,CN0107500000000,03,U,01,"Lamar County, AL",unemployment rate
LAUCN010770000000003,2025,M13,0.031,F,CN0107700000000,03,U,01,"Lauderdale County, AL",unemployment rate
LAUCN010790000000003,2025,M13,0.025,F,CN0107900000000,03,U,01,"Lawrence County, AL",unemployment rate
LAUCN010810000000003,2025,M13,0.025,F,CN0108100000000,03,U,01,"Lee County, AL",unemployment rate
LAUCN010830000000003,2025,M13,0.024,F,CN0108300000000,03,U,01,"Limestone County, AL",unemployment rate
LAUCN010850000000003,2025,M13,0.049,F,CN0108500000000,03,U,01,"Lowndes County, AL",unemployment rate
LAUCN010870000000003,2025,M13,0.04,F,CN0108700000000,03,U,01,"Macon County, AL",unemployment rate
LAUCN010890000000003,2025,M13,0.024,F,CN0108900000000,03,U,01,"Madison County, AL",unemployment rate
LAUCN010910000000003,2025,M13,0.037000000000000005,F,CN0109100000000,03,U,01,"Marengo County, AL",unemployment rate
LAUCN010930000000003,2025,M13,0.031,F,CN0109300000000,03,U,01,"Marion County, AL",unemployment rate
LAUCN010950000000003,2025,M13,0.024,F,CN0109500000000,03,U,01,"Marshall County, AL",unemployment rate
LAUCN010970000000003,2025,M13,0.035,F,CN0109700000000,03,U,01,"Mobile County, AL",unemployment rate
LAUCN010990000000003,2025,M13,0.052000000000000005,F,CN0109900000000,03,U,01,"Monroe County, AL",unemployment rate
LAUCN011010000000003,2025,M13,0.031,F,CN0110100000000,03,U,01,"Montgomery County, AL",unemployment rate
LAUCN011030000000003,2025,M13,0.023,F,CN0110300000000,03,U,01,"Morgan County, AL",unemployment rate
LAUCN011050000000003,2025,M13,0.061,F,CN0110500000000,03,U,01,"Perry County, AL",unemployment rate
LAUCN011070000000003,2025,M13,0.039,F,CN0110700000000,03,U,01,"Pickens County, AL",unemployment rate
LAUCN011090000000003,2025,M13,0.032,F,CN0110900000000,03,U,01,"Pike County, AL",unemployment rate
LAUCN011110000000003,2025,M13,0.034,F,CN0111100000000,03,U,01,"Randolph County, AL",unemployment rate
LAUCN011130000000003,2025,M13,0.034,F,CN0111300000000,03,U,01,"Russell County, AL",unemployment rate
LAUCN011150000000003,2025,M13,0.023,F,CN0111500000000,03,U,01,"St. Clair County, AL",unemployment rate
LAUCN011170000000003,2025,M13,0.022000000000000002,F,CN0111700000000,03,U,01,"Shelby County, AL",unemployment rate
LAUCN011190000000003,2025,M13,0.042,F,CN0111900000000,03,U,01,"Sumter County, AL",unemployment rate
LAUCN011210000000003,2025,M13,0.032,F,CN0112100000000,03,U,01,"Talladega County, AL",unemployment rate
LAUCN011230000000003,2025,M13,0.031,F,CN0112300000000,03,U,01,"Tallapoosa County, AL",unemployment rate
LAUCN011250000000003,2025,M13,0.03,F,CN0112500000000,03,U,01,"Tuscaloosa County, AL",unemployment rate
LAUCN011270000000003,2025,M13,0.027999999999999997,F,CN0112700000000,03,U,01,"Walker County, AL",unemployment rate
LAUCN011290000000003,2025,M13,0.032,F,CN0112900000000,03,U,01,"Washington County, AL",unemployment rate
LAUCN011310000000003,2025,M13,0.055999999999999994,F,CN0113100000000,03,U,01,"Wilcox County, AL",unemployment rate
LAUCN011330000000003,2025,M13,0.03,F,CN0113300000000,03,U,01,"Winston County, AL",unemployment rate
LAUCN020130000000003,2025,M13,0.03,F,CN0201300000000,03,U,02,"Aleutians East Borough, AK",unemployment rate
LAUCN020160000000003,2025,M13,0.031,F,CN0201600000000,03,U,02,"Aleutians West Census Area, AK",unemployment rate
LAUCN020200000000003,2025,M13,0.039,F,CN0202000000000,03,U,02,"Anchorage Borough/municipality, AK",unemployment rate
LAUCN020500000000003,2025,M13,0.12,F,CN0205000000000,03,U,02,"Bethel Census Area, AK",unemployment rate
LAUCN020600000000003,2025,M13,0.037000000000000005,F,CN0206000000000,03,U,02,"Bristol Bay Borough, AK",unemployment rate
LAUCN020630000000003,2025,M13,0.059000000000000004,F,CN0206300000000,03,U,02,"Chugach Census Area, AK",unemployment rate
LAUCN020660000000003,2025,M13,0.079,F,CN0206600000000,03,U,02,"Copper River Census Area, AK",unemployment rate
LAUCN020680000000003,2025,M13,0.049,F,CN0206800000000,03,U,02,"Denali Borough, AK",unemployment rate
LAUCN020700000000003,2025,M13,0.077,F,CN0207000000000,03,U,02,"Dillingham Census Area, AK",unemployment rate
LAUCN020900000000003,2025,M13,0.040999999999999995,F,CN0209000000000,03,U,02,"Fairbanks North Star Borough, AK",unemployment rate
LAUCN021000000000003,2025,M13,0.09,F,CN0210000000000,03,U,02,"Haines Borough, AK",unemployment rate
LAUCN021050000000003,2025,M13,0.069,F,CN0210500000000,03,U,02,"Hoonah-Angoon Census Area, AK",unemployment rate
LAUCN021100000000003,2025,M13,0.034,F,CN0211000000000,03,U,02,"Juneau Borough/city, AK",unemployment rate
LAUCN021220000000003,2025,M13,0.053,F,CN0212200000000,03,U,02,"Kenai Peninsula Borough, AK",unemployment rate
LAUCN021300000000003,2025,M13,0.042,F,CN0213000000000,03,U,02,"Ketchikan Gateway Borough, AK",unemployment rate
LAUCN021500000000003,2025,M13,0.043,F,CN0215000000000,03,U,02,"Kodiak Island Borough, AK",unemployment rate
LAUCN021580000000003,2025,M13,0.174,F,CN0215800000000,03,U,02,"Kusilvak Census Area, AK",unemployment rate
LAUCN021640000000003,2025,M13,0.057999999999999996,F,CN0216400000000,03,U,02,"Lake and Peninsula Borough, AK",unemployment rate
LAUCN021700000000003,2025,M13,0.051,F,CN0217000000000,03,U,02,"Matanuska-Susitna Borough, AK",unemployment rate
LAUCN021800000000003,2025,M13,0.096,F,CN0218000000000,03,U,02,"Nome Census Area, AK",unemployment rate
LAUCN021850000000003,2025,M13,0.032,F,CN0218500000000,03,U,02,"North Slope Borough, AK",unemployment rate
LAUCN021880000000003,2025,M13,0.1,F,CN0218800000000,03,U,02,"Northwest Arctic Borough, AK",unemployment rate
LAUCN021950000000003,2025,M13,0.054000000000000006,F,CN0219500000000,03,U,02,"Petersburg Borough, AK",unemployment rate
LAUCN021980000000003,2025,M13,0.083,F,CN0219800000000,03,U,02,"Prince of Wales-Hyder Census Area, AK",unemployment rate
LAUCN022200000000003,2025,M13,0.03,F,CN0222000000000,03,U,02,"Sitka Borough/city, AK",unemployment rate
LAUCN022300000000003,2025,M13,0.067,F,CN0223000000000,03,U,02,"Skagway Municipality, AK",unemployment rate
LAUCN022400000000003,2025,M13,0.069,F,CN0224000000000,03,U,02,"Southeast Fairbanks Census Area, AK",unemployment rate
LAUCN022750000000003,2025,M13,0.052000000000000005,F,CN0227500000000,03,U,02,"Wrangell Borough/city, AK",unemployment rate
LAUCN022820000000003,2025,M13,0.054000000000000006,F,CN0228200000000,03,U,02,"Yakutat Borough/city, AK",unemployment rate
LAUCN022900000000003,2025,M13,0.1,F,CN0229000000000,03,U,02,"Yukon-Koyukuk Census Area, AK",unemployment rate
LAUCN040010000000003,2025,M13,0.079,F,CN0400100000000,03,U,04,"Apache County, AZ",unemployment rate
LAUCN040030000000003,2025,M13,0.052000000000000005,F,CN0400300000000,03,U,04,"Cochise County, AZ",unemployment rate
LAUCN040050000000003,2025,M13,0.047,F,CN0400500000000,03,U,04,"Coconino County, AZ",unemployment rate
LAUCN040070000000003,2025,M13,0.040999999999999995,F,CN0400700000000,03,U,04,"Gila County, AZ",unemployment rate
LAUCN040090000000003,2025,M13,0.04,F,CN0400900000000,03,U,04,"Graham County, AZ",unemployment rate
LAUCN040110000000003,2025,M13,0.028999999999999998,F,CN0401100000000,03,U,04,"Greenlee County, AZ",unemployment rate
LAUCN040120000000003,2025,M13,0.063,F,CN0401200000000,03,U,04,"La Paz County, AZ",unemployment rate
LAUCN040130000000003,2025,M13,0.038,F,CN0401300000000,03,U,04,"Maricopa County, AZ",unemployment rate
LAUCN040150000000003,2025,M13,0.051,F,CN0401500000000,03,U,04,"Mohave County, AZ",unemployment rate
LAUCN040170000000003,2025,M13,0.064,F,CN0401700000000,03,U,04,"Navajo County, AZ",unemployment rate
LAUCN040190000000003,2025,M13,0.043,F,CN0401900000000,03,U,04,"Pima County, AZ",unemployment rate
LAUCN040210000000003,2025,M13,0.044000000000000004,F,CN0402100000000,03,U,04,"Pinal County, AZ",unemployment rate
LAUCN040230000000003,2025,M13,0.068,F,CN0402300000000,03,U,04,"Santa Cruz County, AZ",unemployment rate
LAUCN040250000000003,2025,M13,0.040999999999999995,F,CN0402500000000,03,U,04,"Yavapai County, AZ",unemployment rate
LAUCN040270000000003,2025,M13,0.14,F,CN0402700000000,03,U,04,"Yuma County, AZ",unemployment rate
LAUCN050010000000003,2025,M13,0.047,F,CN0500100000000,03,U,05,"Arkansas County, AR",unemployment rate
LAUCN050030000000003,2025,M13,0.061,F,CN0500300000000,03,U,05,"Ashley County, AR",unemployment rate
LAUCN050050000000003,2025,M13,0.044000000000000004,F,CN0500500000000,03,U,05,"Baxter County, AR",unemployment rate
LAUCN050070000000003,2025,M13,0.032,F,CN0500700000000,03,U,05,"Benton County, AR",unemployment rate
LAUCN050090000000003,2025,M13,0.04,F,CN0500900000000,03,U,05,"Boone County, AR",unemployment rate
LAUCN050110000000003,2025,M13,0.064,F,CN0501100000000,03,U,05,"Bradley County, AR",unemployment rate
LAUCN050130000000003,2025,M13,0.044000000000000004,F,CN0501300000000,03,U,05,"Calhoun County, AR",unemployment rate
LAUCN050150000000003,2025,M13,0.040999999999999995,F,CN0501500000000,03,U,05,"Carroll County, AR",unemployment rate
LAUCN050170000000003,2025,M13,0.063,F,CN0501700000000,03,U,05,"Chicot County, AR",unemployment rate
LAUCN050190000000003,2025,M13,0.047,F,CN0501900000000,03,U,05,"Clark County, AR",unemployment rate
LAUCN050210000000003,2025,M13,0.044000000000000004,F,CN0502100000000,03,U,05,"Clay County, AR",unemployment rate
LAUCN050230000000003,2025,M13,0.047,F,CN0502300000000,03,U,05,"Cleburne County, AR",unemployment rate
LAUCN050250000000003,2025,M13,0.045,F,CN0502500000000,03,U,05,"Cleveland County, AR",unemployment rate
LAUCN050270000000003,2025,M13,0.048,F,CN0502700000000,03,U,05,"Columbia County, AR",unemployment rate
LAUCN050290000000003,2025,M13,0.043,F,CN0502900000000,03,U,05,"Conway County, AR",unemployment rate
LAUCN050310000000003,2025,M13,0.04,F,CN0503100000000,03,U,05,"Craighead County, AR",unemployment rate
LAUCN050330000000003,2025,M13,0.043,F,CN0503300000000,03,U,05,"Crawford County, AR",unemployment rate
LAUCN050350000000003,2025,M13,0.055999999999999994,F,CN0503500000000,03,U,05,"Crittenden County, AR",unemployment rate
LAUCN050370000000003,2025,M13,0.044000000000000004,F,CN0503700000000,03,U,05,"Cross County, AR",unemployment rate
LAUCN050390000000003,2025,M13,0.042,F,CN0503900000000,03,U,05,"Dallas County, AR",unemployment rate
LAUCN050410000000003,2025,M13,0.07200000000000001,F,CN0504100000000,03,U,05,"Desha County, AR",unemployment rate
LAUCN050430000000003,2025,M13,0.05,F,CN0504300000000,03,U,05,"Drew County, AR",unemployment rate
LAUCN050450000000003,2025,M13,0.037000000000000005,F,CN0504500000000,03,U,05,"Faulkner County, AR",unemployment rate
LAUCN050470000000003,2025,M13,0.043,F,CN0504700000000,03,U,05,"Franklin County, AR",unemployment rate
LAUCN050490000000003,2025,M13,0.052000000000000005,F,CN0504900000000,03,U,05,"Fulton County, AR",unemployment rate
LAUCN050510000000003,2025,M13,0.042,F,CN0505100000000,03,U,05,"Garland County, AR",unemployment rate
LAUCN050530000000003,2025,M13,0.035,F,CN0505300000000,03,U,05,"Grant County, AR",unemployment rate
LAUCN050550000000003,2025,M13,0.044000000000000004,F,CN0505500000000,03,U,05,"Greene County, AR",unemployment rate
LAUCN050570000000003,2025,M13,0.043,F,CN0505700000000,03,U,05,"Hempstead County, AR",unemployment rate
LAUCN050590000000003,2025,M13,0.044000000000000004,F,CN0505900000000,03,U,05,"Hot Spring County, AR",unemployment rate
LAUCN050610000000003,2025,M13,0.049,F,CN0506100000000,03,U,05,"Howard County, AR",unemployment rate
LAUCN050630000000003,2025,M13,0.037000000000000005,F,CN0506300000000,03,U,05,"Independence County, AR",unemployment rate
LAUCN050650000000003,2025,M13,0.062,F,CN0506500000000,03,U,05,"Izard County, AR",unemployment rate
LAUCN050670000000003,2025,M13,0.047,F,CN0506700000000,03,U,05,"Jackson County, AR",unemployment rate
LAUCN050690000000003,2025,M13,0.06,F,CN0506900000000,03,U,05,"Jefferson County, AR",unemployment rate
LAUCN050710000000003,2025,M13,0.053,F,CN0507100000000,03,U,05,"Johnson County, AR",unemployment rate
LAUCN050730000000003,2025,M13,0.055999999999999994,F,CN0507300000000,03,U,05,"Lafayette County, AR",unemployment rate
LAUCN050750000000003,2025,M13,0.042,F,CN0507500000000,03,U,05,"Lawrence County, AR",unemployment rate
LAUCN050770000000003,2025,M13,0.062,F,CN0507700000000,03,U,05,"Lee County, AR",unemployment rate
LAUCN050790000000003,2025,M13,0.057,F,CN0507900000000,03,U,05,"Lincoln County, AR",unemployment rate
LAUCN050810000000003,2025,M13,0.042,F,CN0508100000000,03,U,05,"Little River County, AR",unemployment rate
LAUCN050830000000003,2025,M13,0.045,F,CN0508300000000,03,U,05,"Logan County, AR",unemployment rate
LAUCN050850000000003,2025,M13,0.035,F,CN0508500000000,03,U,05,"Lonoke County, AR",unemployment rate
LAUCN050870000000003,2025,M13,0.034,F,CN0508700000000,03,U,05,"Madison County, AR",unemployment rate
LAUCN050890000000003,2025,M13,0.062,F,CN0508900000000,03,U,05,"Marion County, AR",unemployment rate
LAUCN050910000000003,2025,M13,0.049,F,CN0509100000000,03,U,05,"Miller County, AR",unemployment rate
LAUCN050930000000003,2025,M13,0.048,F,CN0509300000000,03,U,05,"Mississippi County, AR",unemployment rate
LAUCN050950000000003,2025,M13,0.055,F,CN0509500000000,03,U,05,"Monroe County, AR",unemployment rate
LAUCN050970000000003,2025,M13,0.051,F,CN0509700000000,03,U,05,"Montgomery County, AR",unemployment rate
LAUCN050990000000003,2025,M13,0.055,F,CN0509900000000,03,U,05,"Nevada County, AR",unemployment rate
LAUCN051010000000003,2025,M13,0.049,F,CN0510100000000,03,U,05,"Newton County, AR",unemployment rate
LAUCN051030000000003,2025,M13,0.05,F,CN0510300000000,03,U,05,"Ouachita County, AR",unemployment rate
LAUCN051050000000003,2025,M13,0.046,F,CN0510500000000,03,U,05,"Perry County, AR",unemployment rate
LAUCN051070000000003,2025,M13,0.071,F,CN0510700000000,03,U,05,"Phillips County, AR",unemployment rate
LAUCN051090000000003,2025,M13,0.043,F,CN0510900000000,03,U,05,"Pike County, AR",unemployment rate
LAUCN051110000000003,2025,M13,0.043,F,CN0511100000000,03,U,05,"Poinsett County, AR",unemployment rate
LAUCN051130000000003,2025,M13,0.045,F,CN0511300000000,03,U,05,"Polk County, AR",unemployment rate
LAUCN051150000000003,2025,M13,0.048,F,CN0511500000000,03,U,05,"Pope County, AR",unemployment rate
LAUCN051170000000003,2025,M13,0.04,F,CN0511700000000,03,U,05,"Prairie County, AR",unemployment rate
LAUCN051190000000003,2025,M13,0.042,F,CN0511900000000,03,U,05,"Pulaski County, AR",unemployment rate
LAUCN051210000000003,2025,M13,0.04,F,CN0512100000000,03,U,05,"Randolph County, AR",unemployment rate
LAUCN051230000000003,2025,M13,0.059000000000000004,F,CN0512300000000,03,U,05,"St. Francis County, AR",unemployment rate
LAUCN051250000000003,2025,M13,0.034,F,CN0512500000000,03,U,05,"Saline County, AR",unemployment rate
LAUCN051270000000003,2025,M13,0.039,F,CN0512700000000,03,U,05,"Scott County, AR",unemployment rate
LAUCN051290000000003,2025,M13,0.043,F,CN0512900000000,03,U,05,"Searcy County, AR",unemployment rate
LAUCN051310000000003,2025,M13,0.04,F,CN0513100000000,03,U,05,"Sebastian County, AR",unemployment rate
LAUCN051330000000003,2025,M13,0.034,F,CN0513300000000,03,U,05,"Sevier County, AR",unemployment rate
LAUCN051350000000003,2025,M13,0.046,F,CN0513500000000,03,U,05,"Sharp County, AR",unemployment rate
LAUCN051370000000003,2025,M13,0.057,F,CN0513700000000,03,U,05,"Stone County, AR",unemployment rate
LAUCN051390000000003,2025,M13,0.054000000000000006,F,CN0513900000000,03,U,05,"Union County, AR",unemployment rate
LAUCN051410000000003,2025,M13,0.052000000000000005,F,CN0514100000000,03,U,05,"Van Buren County, AR",unemployment rate
LAUCN051430000000003,2025,M13,0.034,F,CN0514300000000,03,U,05,"Washington County, AR",unemployment rate
LAUCN051450000000003,2025,M13,0.040999999999999995,F,CN0514500000000,03,U,05,"White County, AR",unemployment rate
LAUCN051470000000003,2025,M13,0.038,F,CN0514700000000,03,U,05,"Woodruff County, AR",unemployment rate
LAUCN051490000000003,2025,M13,0.04,F,CN0514900000000,03,U,05,"Yell County, AR",unemployment rate
LAUCN060010000000003,2025,M13,0.047,F,CN0600100000000,03,U,06,"Alameda County, CA",unemployment rate
LAUCN060030000000003,2025,M13,0.07400000000000001,F,CN0600300000000,03,U,06,"Alpine County, CA",unemployment rate
LAUCN060050000000003,2025,M13,0.06,F,CN0600500000000,03,U,06,"Amador County, CA",unemployment rate
LAUCN060070000000003,2025,M13,0.062,F,CN0600700000000,03,U,06,"Butte County, CA",unemployment rate
LAUCN060090000000003,2025,M13,0.064,F,CN0600900000000,03,U,06,"Calaveras County, CA",unemployment rate
LAUCN060110000000003,2025,M13,0.139,F,CN0601100000000,03,U,06,"Colusa County, CA",unemployment rate
LAUCN060130000000003,2025,M13,0.048,F,CN0601300000000,03,U,06,"Contra Costa County, CA",unemployment rate
LAUCN060150000000003,2025,M13,0.064,F,CN0601500000000,03,U,06,"Del Norte County, CA",unemployment rate
LAUCN060170000000003,2025,M13,0.05,F,CN0601700000000,03,U,06,"El Dorado County, CA",unemployment rate
LAUCN060190000000003,2025,M13,0.085,F,CN0601900000000,03,U,06,"Fresno County, CA",unemployment rate
LAUCN060210000000003,2025,M13,0.073,F,CN0602100000000,03,U,06,"Glenn County, CA",unemployment rate
LAUCN060230000000003,2025,M13,0.053,F,CN0602300000000,03,U,06,"Humboldt County, CA",unemployment rate
LAUCN060250000000003,2025,M13,0.18899999999999997,F,CN0602500000000,03,U,06,"Imperial County, CA",unemployment rate
LAUCN060270000000003,2025,M13,0.046,F,CN0602700000000,03,U,06,"Inyo County, CA",unemployment rate
LAUCN060290000000003,2025,M13,0.09,F,CN0602900000000,03,U,06,"Kern County, CA",unemployment rate
LAUCN060310000000003,2025,M13,0.09300000000000001,F,CN0603100000000,03,U,06,"Kings County, CA",unemployment rate
LAUCN060330000000003,2025,M13,0.073,F,CN0603300000000,03,U,06,"Lake County, CA",unemployment rate
LAUCN060350000000003,2025,M13,0.067,F,CN0603500000000,03,U,06,"Lassen County, CA",unemployment rate
LAUCN060370000000003,2025,M13,0.057,F,CN0603700000000,03,U,06,"Los Angeles County, CA",unemployment rate
LAUCN060390000000003,2025,M13,0.08,F,CN0603900000000,03,U,06,"Madera County, CA",unemployment rate
LAUCN060410000000003,2025,M13,0.042,F,CN0604100000000,03,U,06,"Marin County, CA",unemployment rate
LAUCN060430000000003,2025,M13,0.059000000000000004,F,CN0604300000000,03,U,06,"Mariposa County, CA",unemployment rate
LAUCN060450000000003,2025,M13,0.059000000000000004,F,CN0604500000000,03,U,06,"Mendocino County, CA",unemployment rate
LAUCN060470000000003,2025,M13,0.102,F,CN0604700000000,03,U,06,"Merced County, CA",unemployment rate
LAUCN060490000000003,2025,M13,0.073,F,CN0604900000000,03,U,06,"Modoc County, CA",unemployment rate
LAUCN060510000000003,2025,M13,0.042,F,CN0605100000000,03,U,06,"Mono County, CA",unemployment rate
LAUCN060530000000003,2025,M13,0.079,F,CN0605300000000,03,U,06,"Monterey County, CA",unemployment rate
LAUCN060550000000003,2025,M13,0.043,F,CN0605500000000,03,U,06,"Napa County, CA",unemployment rate
LAUCN060570000000003,2025,M13,0.048,F,CN0605700000000,03,U,06,"Nevada County, CA",unemployment rate
LAUCN060590000000003,2025,M13,0.040999999999999995,F,CN0605900000000,03,U,06,"Orange County, CA",unemployment rate
LAUCN060610000000003,2025,M13,0.043,F,CN0606100000000,03,U,06,"Placer County, CA",unemployment rate
LAUCN060630000000003,2025,M13,0.075,F,CN0606300000000,03,U,06,"Plumas County, CA",unemployment rate
LAUCN060650000000003,2025,M13,0.055999999999999994,F,CN0606500000000,03,U,06,"Riverside County, CA",unemployment rate
LAUCN060670000000003,2025,M13,0.05,F,CN0606700000000,03,U,06,"Sacramento County, CA",unemployment rate
LAUCN060690000000003,2025,M13,0.068,F,CN0606900000000,03,U,06,"San Benito County, CA",unemployment rate
LAUCN060710000000003,2025,M13,0.054000000000000006,F,CN0607100000000,03,U,06,"San Bernardino County, CA",unemployment rate
LAUCN060730000000003,2025,M13,0.046,F,CN0607300000000,03,U,06,"San Diego County, CA",unemployment rate
LAUCN060750000000003,2025,M13,0.040999999999999995,F,CN0607500000000,03,U,06,"San Francisco County/city, CA",unemployment rate
LAUCN060770000000003,2025,M13,0.067,F,CN0607700000000,03,U,06,"San Joaquin County, CA",unemployment rate
LAUCN060790000000003,2025,M13,0.044000000000000004,F,CN0607900000000,03,U,06,"San Luis Obispo County, CA",unemployment rate
LAUCN060810000000003,2025,M13,0.039,F,CN0608100000000,03,U,06,"San Mateo County, CA",unemployment rate
LAUCN060830000000003,2025,M13,0.048,F,CN0608300000000,03,U,06,"Santa Barbara County, CA",unemployment rate
LAUCN060850000000003,2025,M13,0.043,F,CN0608500000000,03,U,06,"Santa Clara County, CA",unemployment rate
LAUCN060870000000003,2025,M13,0.063,F,CN0608700000000,03,U,06,"Santa Cruz County, CA",unemployment rate
LAUCN060890000000003,2025,M13,0.055,F,CN0608900000000,03,U,06,"Shasta County, CA",unemployment rate
LAUCN060910000000003,2025,M13,0.057,F,CN0609100000000,03,U,06,"Sierra County, CA",unemployment rate
LAUCN060930000000003,2025,M13,0.076,F,CN0609300000000,03,U,06,"Siskiyou County, CA",unemployment rate
LAUCN060950000000003,2025,M13,0.053,F,CN0609500000000,03,U,06,"Solano County, CA",unemployment rate
LAUCN060970000000003,2025,M13,0.044000000000000004,F,CN0609700000000,03,U,06,"Sonoma County, CA",unemployment rate
LAUCN060990000000003,2025,M13,0.07200000000000001,F,CN0609900000000,03,U,06,"Stanislaus County, CA",unemployment rate
LAUCN061010000000003,2025,M13,0.08900000000000001,F,CN0610100000000,03,U,06,"Sutter County, CA",unemployment rate
LAUCN061030000000003,2025,M13,0.065,F,CN0610300000000,03,U,06,"Tehama County, CA",unemployment rate
LAUCN061050000000003,2025,M13,0.059000000000000004,F,CN0610500000000,03,U,06,"Trinity County, CA",unemployment rate
LAUCN061070000000003,2025,M13,0.10800000000000001,F,CN0610700000000,03,U,06,"Tulare County, CA",unemployment rate
LAUCN061090000000003,2025,M13,0.055,F,CN0610900000000,03,U,06,"Tuolumne County, CA",unemployment rate
LAUCN061110000000003,2025,M13,0.048,F,CN0611100000000,03,U,06,"Ventura County, CA",unemployment rate
LAUCN061130000000003,2025,M13,0.057999999999999996,F,CN0611300000000,03,U,06,"Yolo County, CA",unemployment rate
LAUCN061150000000003,2025,M13,0.071,F,CN0611500000000,03,U,06,"Yuba County, CA",unemployment rate
LAUCN080010000000003,2025,M13,0.042,F,CN0800100000000,03,U,08,"Adams County, CO",unemployment rate
LAUCN080030000000003,2025,M13,0.046,F,CN0800300000000,03,U,08,"Alamosa County, CO",unemployment rate
