Name,Address,State,Website,Type,LAT,LON
Wiley College,"711 Wiley Ave, Marshall, Texas 75670",Texas,www.wileyc.edu/,"4-year, Private not-for-profit",32.537641,-94.376814
University of the Virgin Islands,"2 John Brewers Bay, Charlotte Amalie, Virgin Islands 00802-9990",NA,www.uvi.edu/,"4-year, Public",18.344193,-64.972866
University of the Virgin Islands-Albert A. Sheen,"St. Croix, St. Croix, Virgin Islands 00850",NA,www.uvi.edu/,"4-year, Public",17.716115,-64.79856
Hampton University,"200 William R. Harvey Way, Hampton, Virginia 23668-0099",Virginia,www.hamptonu.edu/,"4-year, Private not-for-profit",37.019944,-76.339161
Norfolk State University,"700 Park Avenue, Norfolk, Virginia 23504-8000",Virginia,www.nsu.edu/,"4-year, Public",36.848429,-76.261375
Virginia State University,"1 Hayden Drive, Petersburg, Virginia 23806",Virginia,www.vsu.edu/,"4-year, Public",37.234692,-77.419026
Virginia Union University,"1500 N Lombardy St, Richmond, Virginia 23220",Virginia,www.vuu.edu/,"4-year, Private not-for-profit",37.562405,-77.450903
Virginia University of Lynchburg,"2058 Garfield Ave, Lynchburg, Virginia 24501",Virginia,www.vul.edu/,"4-year, primarily associate’s, Private not-for-profit",37.395187,-79.151615
Bluefield State College,"219 Rock Street, Bluefield, West Virginia 24701-2198",West Virginia,https://bluefieldstate.edu/,"4-year, Public",NA,NA
West Virginia State University,"Rte 25, Institute, West Virginia 25112-1000",West Virginia,www.wvstateu.edu/,"4-year, Public",38.380541,-81.765034
