Announcement Date,Parent Company,Company,Facility Name,Phase,City,State,Manufacturing Focus,Component Category,EV/Battery Production,Announcement Effective Year,Existing Union?,Announced EV Investment,Announced EV Jobs,Congressional District,30D Eligible (Defunct),Federal Funding Received,Federal Program,Source
3/23/26,Toyota Motor Company,Toyota,Toyota Motor Manufacturing Kentucky,Expansion 3,Georgetown,KY,Light-Duty (Class 1-2),Vehicle Assembly,Planned,2026,No Evidence,"$800,000,000",,KY06,No Evidence,,None,https://pressroom.toyota.com/driven-by-people-powering-the-future/
3/19/26,VinGroup,VinFast,Chatham County Facility,Update,Moncure,NC,Batteries,Cells; Modules; Packs,Under Construction,2028,No Evidence,,"-3,050",NC04,No Evidence,$0,None,https://spectrumlocalnews.com/nc/charlotte/news/2026/03/18/vinfast-cuts-jobs-to-1-400-from-7-500--resumes-construction-this-year
3/19/26,VinGroup,VinFast,Chatham County Facility,Update,Moncure,NC,Multiple Classes,Vehicle Assembly,Under Construction,2028,No Evidence,,"-3,050",NC04,No Evidence,$0,None,https://spectrumlocalnews.com/nc/charlotte/news/2026/03/18/vinfast-cuts-jobs-to-1-400-from-7-500--resumes-construction-this-year
3/14/26,Honda Motor Company,Honda,East Liberty Auto Plant,Update,East Liberty,OH,Light-Duty (Class 1-2),Vehicle Assembly,Canceled,2026,No Evidence,"($400,000,000)",-133,OH04,Good Evidence,$0,None,https://www.dispatch.com/story/business/automotive/2026/03/14/honda-electric-vehicles-ev-planned-ohio-production-hit-roadblock/89136283007/
3/14/26,Honda Motor Company,Honda,Marysville Auto Plant,Update,Marysville,OH,Light-Duty (Class 1-2),Vehicle Assembly,Canceled,2026,No Evidence,"($400,000,000)",-433,OH04,Good Evidence,$0,None,https://www.dispatch.com/story/business/automotive/2026/03/14/honda-electric-vehicles-ev-planned-ohio-production-hit-roadblock/89136283007/
3/6/26,SK,SK On,Commerce Battery Plant,Update,Commerce,GA,Batteries,Cells; Modules; Packs,Operational,2026,No Evidence,,-958,GA10,No Evidence,$0,None,https://apnews.com/article/georgia-electric-vehicle-battery-manufacturing-layoffs-workers-79a4ec7a5b7f2816f64033f8b3d4898d
2/18/26,Volkswagen Group,Scout Motors,Blythewood Facility,Update,Columbia,SC,Light-Duty (Class 1-2),Vehicle Assembly,Under Construction,2028,No Evidence,,,SC02,No Evidence,$0,None,https://www.electrive.com/2026/02/18/vws-u-s-scout-comeback-reportedly-delayed-to-mid-2028/
2/6/26,Element3 Resources,Element3 Resources,Element3 Resources Permian Basin,Original,Midland,TX,Minerals,Lithium Carbonate,Operational,2026,No Evidence,,,TX11,No Evidence,$0,None,https://gov.texas.gov/news/post/governor-abbott-cuts-ribbon-at-element3-lithium-extraction-facility
2/3/26,Aqua Metals,Aqua Metals,ABF Recycling Plant,Original,Tucson,AZ,Battery Recycling,Recycling,Planned,2028,No Evidence,,,,No Evidence,$0,None,https://www.globenewswire.com/news-release/2026/02/03/3231007/36806/en/Aqua-Metals-and-American-Battery-Factory-Announce-Proposed-Strategic-Collaboration-to-Advance-Domestic-Circular-Supply-of-Battery-Materials.html
2/3/26,Volkswagen Group,Scout Motors,Blythewood Facility,Update,Columbia,SC,Light-Duty (Class 1-2),Vehicle Assembly,Under Construction,2027,No Evidence,"$700,000,000",,SC02,No Evidence,$0,None,https://insideevs.com/news/786286/scout-factory-budget-50-percent/
1/28/26,DuPont,DDP Specialty Electronic Materials US,DDP Midland Factory,Original,Midland,MI,Batteries,Battery Enclosures,Planned,,No Evidence,"$20,000,000",22,MI08,No Evidence,$0,None,https://www.michiganbusiness.org/press-releases/2026/01/100-new-jobs-44-million-investment-across-midland-st-clair-counties/
1/8/26,GreenPower Motors,GreenPower Motors,Santa Teresa Facility,Original,Santa Teresa,NM,Medium-Duty (Class 3-6),Vehicle Assembly,Planned,2026,No Evidence,,340,,No Evidence,$0,None,https://greenpowermotor.com/greenpower-chooses-new-mexico-advanced-ev-manufacturing-facility/
12/28/25,Honda Motor Company,Honda,Fayette County EV Battery Plant,Update,Jeffersonville,OH,Batteries,Modules,Under Construction,2026,No Evidence,,,OH15,No Evidence,$0,None,https://ackodrive.com/news/honda-acquires-ohio-ev-battery-plant-from-lg-energy-solution-for-2-9-billion-1/
12/17/25,Westwin Elements,Westwin Elements,Lawton Refinery,Update,Lawton,OK,Minerals,Nickel; Cobalt,Canceled,2025,No Evidence,,,OK04,No Evidence,$0,None,https://www.kswo.com/2025/12/17/westwin-elements-elects-not-move-forward-with-large-scale-lawton-facility/
12/15/25,Ford Motor Company,Ford,BlueOval Tennessee Truck Plant,Update,Stanton,TN,Light-Duty (Class 1-2),Vehicle Assembly,Canceled,2026,No Evidence,"($2,800,000,000)","-2,900",TN08,Good Evidence,,Loan Programs Office (LPO),https://www.bizjournals.com/memphis/news/2025/12/15/ford-announces-major-shifts-blueoval-city.html
12/15/25,Ford Motor Company,Ford,Ford Ohio Assembly Plant,Update,Sheffield,OH,Medium-Duty (Class 3-6),Vehicle Assembly,Canceled,2025,Good Evidence,"($1,500,000,000)","-1,800",OH05,No Evidence,$0,None,https://www.detroitnews.com/story/business/autos/ford/2025/12/15/ford-model-e-q4-charge-ev-2029-profitable-f-150-lightning-erev-skon-blueoval/87778986007/
12/12/25,Anthro Energy,Anthro Energy,Anthro LIB Electrolyte Plant,Update,,KY,Batteries,Electrolytes and Electrolyte Inputs,Planned,2027,No Evidence,"($28,000,000)",-5,,No Evidence,,Advanced Energy Manufacturing and Recycling Program; Qualifying Advanced Energy Project Credit (48C)`,https://louisvilleky.gov/news/mayor-greenberg-announces-anthro-energy-invest-42-million-new-manufacturing-facility
12/9/25,Faraday Future,Faraday Future,FF ieFactory California,Update,Hanford,CA,Light-Duty (Class 1-2),Vehicle Assembly,Operational,2025,No Evidence,"$286,000,000",,CA22,No Evidence,$0,None,https://investors.ff.com/news-releases/news-release-details/faraday-future-begins-production-first-fx-super-one-pre
12/2/25,Bollinger Innovations,Bollinger Motors,Oak Park Factory,Update,Oak Park,MI,Multiple Classes,Vehicle Assembly,Canceled,2025,No Evidence,"($22,000,000)",-237,MI11,No Evidence,,None,https://www.freightwaves.com/news/bollinger-motors-shuts-down-amid-financial-woes
11/24/25,Anthro Energy,Anthro Energy,Alameda Battery Facility,Original,Alameda,CA,Batteries,Cells; Electrolytes,Planned,2026,No Evidence,"$5,500,000",,CA12,No Evidence,$0,None,https://www.prweb.com/releases/california-energy-commission-awards-anthro-energy-5-5-million-powerforward-grant-to-establish-advanced-electrolyte-and-battery-cell-production-in-california-302623812.html
11/12/25,Aptera Motors,Aptera,Aptera San Diego Manufacturing Facility,Update,Carlsbad,CA,Light-Duty (Class 1-2),Vehicle Assembly,Operational,2026,No Evidence,"$65,000,000",,CA49,No Evidence,$0,None,https://www.electrive.com/2025/11/12/aptera-begins-validation-line-for-solar-electric-vehicle-production/
11/12/25,Israel Corporation,ICL Group,LFP Cathode Powder Factory,Update,St Louis,MO,Minerals,Cathode Materials,Canceled,2025,No Evidence,"($574,000,000)",-150,MO01,No Evidence,,Battery Materials Processing and Battery Manufacturing Recycling Grants,https://www.stlmag.com/business/icl-cancels-massive-north-st-louise-manufacturing-plant/
11/4/25,ElringKlinger,ElringKlinger,ElringKlinger Pickens Manufacturing Facility,Expansion 1,,SC,Batteries,Battery Pack Components,Planned,2027,No Evidence,"$68,500,000",294,SC03,No Evidence,$0,None,"https://www.sedc.org/news/elringklinger-expands-pickens-county-operations#:~:text=By%20investing%20%2468.5%20million%20to,County%20on%20this%20great%20accomplishment.%E2%80%9D"
10/31/25,Freudenberg,Xalt Energy,Xalt Energy Battery Park,Update,Midland,MI,Batteries,Modules; Packs,Canceled,2025,No Evidence,"($600,000,000)",-550,MI08,No Evidence,$0,None,https://www.abc12.com/news/business/xalt-energy-closing-battery-plants-in-midland-and-auburn-hills/article_0836059c-f864-4af2-9c08-255e03595b8b.html
10/30/25,BorgWarner,BorgWarner,Seneca Battery Plant,Update,Seneca,SC,Batteries,Modules,Planned,2027,No Evidence,,,SC03,No Evidence,,None,https://www.borgwarner.com/newsroom/press-releases/2025/10/30/borgwarner-battery-system-to-power-holon-s-autonomous-shuttle
10/29/25,Benteler,HOLON,Holon Autonomous Vehicle Assembly Plant,Update,,FL,Light-Duty (Class 1-2),Vehicle Assembly,Planned,2027,No Evidence,"$100,000,000",,,No Evidence,$0,None,https://www.news4jax.com/news/local/2025/10/29/its-official-autonomous-vehicle-manufacturer-signs-partnership-to-bring-its-first-us-production-plant-to-jacksonville/
10/29/25,General Motors,General Motors,Factory ZERO Detroit-Hamtramck Assembly Center,Update,Detroit,MI,Light-Duty (Class 1-2),Vehicle Assembly,Operational,2025,Good Evidence,,"-1,200",MI13,No Evidence,$0,None,https://www.cnbc.com/2025/10/29/gm-layoffs-michigan-ohio.html
10/29/25,General Motors,General Motors,Ultium Cells Warren (JV),Update,Lordstown,OH,Batteries,Cells,Operational,2025,Good Evidence,,-275,OH14,No Evidence,,Loan Programs Office (LPO),https://www.cnbc.com/2025/10/29/gm-layoffs-michigan-ohio.html
10/29/25,LG Corporation,LG Energy Solution,Ultium Cells Warren (JV),Update,Lordstown,OH,Batteries,Cells,Operational,2025,Good Evidence,,-275,OH14,No Evidence,,Loan Programs Office (LPO),https://www.cnbc.com/2025/10/29/gm-layoffs-michigan-ohio.html
10/24/25,Guoxuan High Tech,Gotion,Big Rapids Battery Factory,Update,Big Rapids,MI,Batteries,Cathodes; Anodes,Canceled,2025,No Evidence,"($2,360,000,000)","-2,350",MI02,No Evidence,$0,None,https://www.reuters.com/world/us/chinese-battery-company-abandons-plan-build-michigan-plant-state-says-2025-10-23/
10/23/25,Tesla,Tesla,Gigafactory Nevada,Update,Sparks,NV,Heavy-Duty (Class 7-8),Vehicle Assembly,Operational,2026,No Evidence,,,NV02,No Evidence,,None,https://electrek.co/2025/10/23/tesla-semi-electric-truck-production-delayed/
10/22/25,Cummins,Accelera,Amplify Battery Manufacturing Facility (JV),Update,Byhalia,MS,Batteries,Cells,Under Construction,2028,No Evidence,,,,No Evidence,$0,None,https://www.electrive.com/2025/10/22/us-cell-production-by-truck-alliance-delayed-til-2028/
10/22/25,Daimler Truck,Daimler Truck,Amplify Battery Manufacturing Facility (JV),Update,Byhalia,MS,Batteries,Cells,Under Construction,2028,No Evidence,,,,No Evidence,$0,None,https://www.electrive.com/2025/10/22/us-cell-production-by-truck-alliance-delayed-til-2028/
10/22/25,EVE Energy,EVE Energy,Amplify Battery Manufacturing Facility (JV),Update,Byhalia,MS,Batteries,Cells,Under Construction,2028,No Evidence,,,,No Evidence,$0,None,https://www.electrive.com/2025/10/22/us-cell-production-by-truck-alliance-delayed-til-2028/
10/22/25,Paccar,Paccar,Amplify Battery Manufacturing Facility (JV),Update,Byhalia,MS,Batteries,Cells,Under Construction,2028,No Evidence,,,,No Evidence,$0,None,https://www.electrive.com/2025/10/22/us-cell-production-by-truck-alliance-delayed-til-2028/
10/21/25,Dana,Dana,Auburn Hills Facility,Update,Auburn Hills,MI,Parts,Power Electronics,Canceled,2025,Good Evidence,"($54,200,000)",-200,MI11,No Evidence,,None,https://www.cbsnews.com/detroit/news/dana-incorporated-closes-auburn-hills-facility/
10/17/25,Guangzhou Tinci Materials Technology,Tinci Materials,Project Lion,Original,Baytown,TX,Batteries,Electrolytes and Electrolyte Inputs,Planned,2027,No Evidence,"$51,250,000",,TX36,No Evidence,,None,https://www.tigoenergy.com/post/tigo-energy-initiates-made-in-the-usa-manufacturing-partnership-with-eg4-electronics
10/14/25,Stellantis,Stellantis,Warren Truck Assembly Plant,Update,Warren,MI,Light-Duty (Class 1-2),Vehicle Assembly,Planned,2028,Good Evidence,,,MI10,No Evidence,$0,None,https://www.stellantis.com/en/news/press-releases/2025/october/stellantis-to-invest-13-billion-to-grow-in-the-united-states
10/6/25,American Li-ion,American Li-ion,McAlester Battery Recycling Plant,Original,McAlester,OK,Battery Recycling,Recycling,Planned,2026,No Evidence,"$164,000,000",275,OK02,No Evidence,$0,None,"https://www.cityofmcalester.com/tourism_news_detail_T43_R901.php#:~:text=The%20City%20of%20McAlester%20has%20an%20interim,the%20property%20will%20revert%20to%20the%20City"
10/2/25,Dragonfly Energy,Dragonfly Energy,Dragonfly Reno Hub,Original,Reno,NV,Batteries,Cells,Operational,2025,No Evidence,,,NV02,No Evidence,$0,None,https://dragonflyenergy.com/dragonfly-energy-to-be-awarded-nevada-tech-hub-funding-to-advance-battery-manufacturing-and-workforce-development/
10/2/25,General Motors,General Motors,Toledo Propulsion Systems Factory,Update,Toledo,OH,Parts,EV Drive Units,Canceled,2025,Good Evidence,"($760,000,000)","-1,520",OH09,Good Evidence,$0,None,https://www.toledoblade.com/business/automotive/2025/10/02/gm-nixes-production-of-electric-drivetrains-at-toledo-plant/stories/20251002124
10/1/25,Enchem,Enchem,Electrolyte Manufacturing Operations,Update,Brownsville,TN,Batteries,Electrolytes and Electrolyte Inputs,Canceled,2025,No Evidence,"($152,500,000)",-190,TN08,No Evidence,$0,None,https://www.actionnews5.com/2025/10/01/brownsville-plant-not-happening/
9/30/25,Nissan,Nissan,Canton Factory,Update,Canton,MS,Light-Duty (Class 1-2),Vehicle Assembly,Canceled,2025,No Evidence,"($500,000,000)","-2,000",MS02,No Evidence,,None,https://www.bloomberg.com/news/articles/2025-09-30/nissan-to-reboot-xterra-suv-as-a-hybrid-freezes-plans-for-us-ev
9/25/25,Henkel,Henkel,Henkel Brandon Thermal Materials Plant,Update,Brandon,SD,Parts,Power Electronics,Operational,2025,No Evidence,,,SD,No Evidence,$0,None,https://www.henkel-northamerica.com/press/press-releases-and-kits/2025-25-09-henkel-celebrates-expansion-of-flagship-manufacturing-facility-in-brandon-south-dakota-to-advance-mobility-and-electronics-innovations-2089442
9/18/25,Hyundai Motor Group,Hyundai,Metaplant Manufacturing Joint Venture (JV),Expansion 2,Savannah,GA,Multiple Classes,Vehicle Assembly,Planned,2028,No Evidence,"$2,700,000,000",,GA01,No Evidence,$0,None,https://www.hyundai.com/worldwide/en/newsroom/detail/0000001018
9/18/25,Volkswagen Group,Scout Motors,Blythewood Facility,Expansion 1,Columbia,SC,Light-Duty (Class 1-2),Vehicle Assembly,Under Construction,2027,No Evidence,"$300,000,000","1,000",SC02,No Evidence,$0,None,https://www.scoutmotors.com/newsroom/scout-motors-makes-additional-usd300-million-investment-in-south-carolina-to
9/15/25,Natrion,Natrion,Natrion Cheektowaga Facility,Original,Cheektowaga,NY,Batteries,Separators,Operational,2025,No Evidence,"$5,000,000",10,NY26,No Evidence,,None,https://www.bizjournals.com/buffalo/news/2025/09/15/natrion-battery-company-cheektowaga.html
9/10/25,Exxon Mobil,Superior Graphite,Hopkinsville Graphite Plant,Update,Hopkinsville,KY,Minerals,Graphite,Operational,2025,No Evidence,,72,KY01,No Evidence,$0,None,https://hoptownchronicle.org/exxonmobil-is-acquiring-superior-graphites-hopkinsville-production-plant/
9/8/25,Fortescue,Fortescue,U.S. Advanced Manufacturing Center,Update,Detroit,MI,Batteries,Modules,Canceled,2025,No Evidence,"($52,500,000)",-150,MI13,No Evidence,,None,https://www.autonews.com/manufacturing/suppliers/an-battery-plant-detroit-scrapped-0905/
9/8/25,Fortescue,Fortescue,U.S. Advanced Manufacturing Center,Update,Detroit,MI,EV Charging,Charging Units,Canceled,2025,No Evidence,"($52,500,000)",-150,MI13,No Evidence,,None,https://www.autonews.com/manufacturing/suppliers/an-battery-plant-detroit-scrapped-0905/
8/27/25,MAHLE,MAHLE,MAHLE Morristown Facility,Original,Morristown,TN,Parts,Power Electronics,Planned,,No Evidence,"$10,000,000",50,TN01,No Evidence,$0,None,https://tnecd.com/news/mahle-gmbh-to-expand-manufacturing-operations-in-hamblen-county/
8/13/25,Guoxuan High Tech,Gotion,Gotion Lithium Battery Plant,Update,Manteno,IL,Batteries,Cells; Packs,Under Construction,2025,No Evidence,,,IL01,No Evidence,$0,None,https://www.chicagobusiness.com/manufacturing-logistics/gotion-start-making-ev-batteries-manteno-next-month
8/11/25,Ford Motor Company,Ford,Louisville Assembly Plant,Expansion 2,Louisville,KY,Light-Duty (Class 1-2),Vehicle Assembly,Planned,2027,Good Evidence,"$2,000,000,000","2,200",KY03,Good Evidence,$0,None,https://www.fromtheroad.ford.com/us/en/articles/2025/ford-affordable-electric-vehicle-platform-midsize-electric-truck?cksid=&emailid=b24t0831_em_en_mediaalert_fordmediasubs_npr_ns_ns_tp1_1_nt&fcid=eml_B24T0831_sf
8/6/25,Samsung,Samsung SDI,StarPlus Energy Gigafactory #1 (JV),Update,Kokomo,IN,Batteries,Cells,Operational,2025,No Evidence,,-30,IN05,No Evidence,,Loan Programs Office (LPO),https://www.wrtv.com/news/local-news/automaker-announces-59-job-cuts-at-kokomo-ev-battery-plant
8/6/25,Stellantis,Stellantis,StarPlus Energy Gigafactory #1 (JV),Update,Kokomo,IN,Batteries,Modules,Operational,2025,No Evidence,,-29,IN05,No Evidence,,Loan Programs Office (LPO),https://www.wrtv.com/news/local-news/automaker-announces-59-job-cuts-at-kokomo-ev-battery-plant
8/5/25,SINBON,SINBON,SINBON Clayton Facility,Original,Clayton,OH,Parts,Other Electrification Components,Planned,,No Evidence,"$4,250,000",100,OH10,No Evidence,$0,None,https://www.sinbon.com/news/sinbon-doubles-us-manufacturing-footprint-to-meet-growing-demand-in-industrial-robotics-automotive-and-renewable-energy-sectors-
7/25/25,Freudenberg,Freudenberg Sealing Technologies,Freudenberg New Hampshire Factory,Original,Manchester,NH,Batteries,Other Electrification Components,Planned,2029,No Evidence,"$10,000,000",,NH01,No Evidence,,Qualifying Advanced Energy Project Credit (48C),https://www.fst.com/news-stories/2025/moving-from-combustion-engines-to-innovative-e-mobility-solutions/
7/15/25,General Motors,General Motors,Orion Factory,Update,Lake Orion,MI,Batteries,Packs; Modules,Operational,2025,Good Evidence,,"-1,205",MI09,Good Evidence,$0,None,https://www.freep.com/story/money/cars/general-motors/2025/07/15/gm-escalade-silverado-sierra-orion-assembly/84164837007/
7/14/25,Ionic Mineral Technologies,Ionic Mineral Technologies,Ionic Manufacturing Facility and HQ,Expansion 1,Provo,UT,Minerals,Anode Materials,Planned,2026,No Evidence,"$29,000,000",,UT03,No Evidence,,None,https://utah.vc/p/ionic-mineral-technologies-b
7/11/25,Ioneer,Ioneer,Rhyolite Ridge Lithium-Boron Project,Update,Coyote Hole,NV,Minerals,Lithium,Planned,2028,No Evidence,"$337,000,000",,,No Evidence,,Loan Programs Office (LPO),https://nevadacurrent.com/2025/07/11/nevada-mine-delayed-amid-lithium-price-slump/?utm_campaign=Newsletter&utm_medium=email&_hsenc=p2ANqtz-_9aryhfeVgnqei-Z-F1eVixaiZhlmkZq4Be4lwhB1NhGusj_FptPeQf9B68Jr21vMyGxAjklWjR8drgwnRqsCZ3vNZZyCwhn3nco8dbvuW7i8avRA&_hsmi=370877892&utm_content=370877892&utm_source=hs_email
7/10/25,Pure Lithium,Pure Lithium,Pure Lithium Hub,Original,,IL,Batteries,Packs,Operational,2025,No Evidence,"$23,000,000",25,,No Evidence,$0,None,https://www.illinois.gov/news/press-release.31467.html
6/26/25,Rivian,Rivian,Normal Factory,Update,Normal,IL,Multiple Classes,Vehicle Assembly,Operational,2025,No Evidence,,-140,IL17,Good Evidence,,None,https://techcrunch.com/2025/06/26/rivian-cuts-dozens-on-manufacturing-team-ahead-of-r2-launch/
6/25/25,Amprius,Amprius,Brighton Facility,Update,Brighton,CO,Batteries,Cells,Canceled,2025,No Evidence,"($95,000,000)",-166,CO08,No Evidence,$0,None,https://coloradosun.com/2025/06/25/colorado-clean-energy-project-cancellations/
6/24/25,Gradiant,alkaLi,alkaLi Lithium Plant,Original,,PA,Minerals,Lithium Carbonate,Planned,2026,No Evidence,,,,No Evidence,,None,https://alkali3.com/gradiant-announces-worlds-first-fully-integrated-lithium-production-facility-from-oilfield-produced-water/
6/24/25,Toyota Motor Company,Toyota,Toyota Motor Manufacturing Indiana,Update,Princeton,IN,Batteries,Packs,Canceled,2025,No Evidence,"($700,000,000)",-170,IN08,No Evidence,$0,None,https://electrek.co/2025/06/24/toyota-tweaks-ev-plans-again-with-two-new-3-row-electric-suvs/
6/24/25,Toyota Motor Company,Toyota,Toyota Motor Manufacturing Indiana,Update,Princeton,IN,Light-Duty (Class 1-2),Vehicle Assembly,Canceled,2025,No Evidence,"($1,503,000,000)","-1,570",IN08,No Evidence,$0,None,https://electrek.co/2025/06/24/toyota-tweaks-ev-plans-again-with-two-new-3-row-electric-suvs/
6/19/25,"LG Corporation, Toyota Motor Company",Green Metals Battery Innovations,Green Metals North Carolina Battery Recycling Facility,Update,Liberty,NC,Battery Recycling,Recycling,Planned,2026,No Evidence,,,NC09,No Evidence,$0,None,https://www.prnewswire.com/news-releases/lg-energy-solution-and-toyota-tsusho-establish-a-battery-recycling-joint-venture-in-the-us-302486006.html
6/11/25,Lucid Motors,Lucid Motors,Phoenix Hub,Original,Phoenix,AZ,Parts,Other Electrification Components,Planned,2025,No Evidence,,,AZ03,No Evidence,$0,None,https://www.azcommerce.com/news-events/news/2025/6/lucid-expands-its-arizona-footprint-with-grand-opening-of-new-phoenix-hub/
5/27/25,General Motors,General Motors,Tonawanda Powertrain Plant,Update,Buffalo,NY,Parts,EV Drive Systems,Canceled,2025,Good Evidence,"($300,000,000)",,NY26,No Evidence,$0,None,https://www.wsj.com/business/autos/general-motors-to-invest-888-million-in-propulsion-plant-23ea7636?gaa_at=eafs&gaa_n=ASWzDAhsc-Q4QbyWJrCuDaKF6SIUzxMqSdEG6nu5VVD9G4p1tqONlM3Vsq7qwYLwxw%3D%3D&gaa_ts=6838c157&gaa_sig=7D2BA5N8jcQFNxdqFizHQN0bvrccj4iE4Gf3Op3Y3YO07u7thrBSR3ITTZMwTz2DvH9hEFJjIfGkkDGSsXJEaw%3D%3D
5/26/25,GreenPower Motors,GreenPower Motors,West Virginia Facility,Update,South Charleston,WV,Heavy-Duty (Class 7-8),Vehicle Assembly,Operational,2025,No Evidence,,-17,WV01,No Evidence,$0,None,https://wvmetronews.com/2025/05/26/greenpower-lays-off-workers-at-electric-school-bus-manufacturing-site-in-south-charleston/
5/14/25,Li-Cycle,Li-Cycle,Alabama Spoke,Update,Tuscaloosa,AL,Battery Recycling,Recycling,Canceled,2025,No Evidence,,,AL07,No Evidence,$0,None,https://investors.li-cycle.com/news/news-details/2025/Li-Cycle-Obtains-Creditor-Protection-Under-CCAA-and-Chapter-15/default.aspx
5/14/25,Li-Cycle,Li-Cycle,Arizona Spoke,Update,Gilbert,AZ,Battery Recycling,Recycling,Canceled,2025,No Evidence,,-50,AZ05,No Evidence,$0,None,https://investors.li-cycle.com/news/news-details/2025/Li-Cycle-Obtains-Creditor-Protection-Under-CCAA-and-Chapter-15/default.aspx
5/14/25,Li-Cycle,Li-Cycle,Lordstown Battery Recycling Spoke,Update,Lordstown,OH,Battery Recycling,Recycling,Canceled,2025,No Evidence,,-35,OH14,No Evidence,$0,None,https://investors.li-cycle.com/news/news-details/2025/Li-Cycle-Obtains-Creditor-Protection-Under-CCAA-and-Chapter-15/default.aspx
5/14/25,Li-Cycle,Li-Cycle,New York Spoke Recycling Facility,Update,Rochester,NY,Battery Recycling,Recycling,Canceled,2025,No Evidence,,-35,NY25,No Evidence,$0,None,https://investors.li-cycle.com/news/news-details/2025/Li-Cycle-Obtains-Creditor-Protection-Under-CCAA-and-Chapter-15/default.aspx
5/14/25,Li-Cycle,Li-Cycle,Rochester Hub,Update,Rochester,NY,Battery Recycling,Recycling,Canceled,2025,No Evidence,"($960,000,000)",-220,NY25,No Evidence,"($475,000,000)",Loan Programs Office (LPO),https://investors.li-cycle.com/news/news-details/2025/Li-Cycle-Obtains-Creditor-Protection-Under-CCAA-and-Chapter-15/default.aspx
5/13/25,Mississauga Bus Group of Companies,Damera,Damera Peoria Assembly Facility,Original,,IL,Medium-Duty (Class 3-6),Vehicle Assembly,Planned,,No Evidence,"$31,500,000",90,,No Evidence,$0,None,https://gov.illinois.gov/news/press-release.31283.html
5/13/25,Slate Auto,Slate Auto,Truck Manufacturing Facility,Original,Warsaw,IN,Light-Duty (Class 1-2),Vehicle Assembly,Under Construction,2026,No Evidence,"$363,000,000","2,000",IN02,No Evidence,,None,https://www.abc57.com/news/bezos-backed-ev-company-slate-to-make-michiana-a-manufacturing-hub
5/7/25,Geely,Volvo Cars,South Carolina Car Factory,Update,Ridgeville,SC,Batteries,Packs,Operational,2025,No Evidence,,-62,SC01,No Evidence,$0,None,https://www.reuters.com/business/world-at-work/volvo-cars-cut-5-workforce-south-carolina-plant-us-2025-05-07/
