"Electric.Power.Plant.Name","Operating.Utility.Name","City","State","Primary.Energy.Source","Maximum.Summer.Capacity..Megawatts.","Longitude","Latitude"
"Deadwood Creek","Hydro Sierra Energy, LLC","Dobbins","California","hydroelectric",1.9,-121.095833,39.53
"Stone Creek","Eugene Water & Electric Board","Estacada","Oregon","hydroelectric",7,-121.886611,45.081111
"McNary Dam Fish Attraction Project","Northern Wasco County PUD","Plymouth","Washington","hydroelectric",9,-119.299078,45.940034
"Arthur Von Rosenberg","City of San Antonio - (TX)","Elmendorf","Texas","natural gas",518,-98.384045,29.257046
"McPherson 3","City of McPherson - (KS)","McPherson","Kansas","natural gas",80.2,-97.61108,38.38932
"Solano Wind","Sacramento Municipal Util Dist","Rio Vista","California","wind",300.5,-121.769031,38.116415
"Carson Ice-Gen Project","Sacramento Municipal Util Dist","Sacramento","California","natural gas",109,-121.462387,38.445681
"Wayne County Energy Complex","Duke Energy Progress - (NC)","Goldsboro","North Carolina","natural gas",822,-78.098052,35.375789
"Spirit Mountain","U S Bureau of Reclamation","Cody","Wyoming","hydroelectric",4.5,-109.129878,44.512699
"Kaw Hydro","Oklahoma Municipal Power Authority","Ponca City","Oklahoma","hydroelectric",29.6,-96.9278,36.6994
"Ponca City","Oklahoma Municipal Power Authority","Ponca City","Oklahoma","natural gas",106.8,-97.085758,36.71979
"Causey","Weber Basin Water Conserv Dist","South Fork","Utah","hydroelectric",2.2,-111.588849,41.297229
"SCA Cogen 2","Sacramento Municipal Util Dist","Sacramento","California","natural gas",176.6,-121.400128,38.530943
"SPA Cogen 3","Sacramento Municipal Util Dist","Sacramento","California","natural gas",178,-121.4735,38.511
"Nebraska City # 2","City of Nebraska City","Nebraska","Nebraska","natural gas",12.2,-95.868333,40.6661
"State Farm","State Farm Insurance","Bloomington","Illinois","petroleum",5.1,-88.9605,40.4535
"Talcville","Erie Boulevard Hydropower LP","Edwards","New York","hydroelectric",0.8,-75.3083,44.3083
"Panora","City of Panora - (IA)","Panora","Iowa","petroleum",4.5,-94.367571,41.694673
"H M Jackson","PUD No 1 of Snohomish County","Sultan","Washington","hydroelectric",96,-121.8144,47.9084
"El Vado Dam","Los Alamos County","Tierra Amarilla","New Mexico","hydroelectric",8,-106.73213,36.592775
"Belleville Dam","American Mun Power-Ohio, Inc","Belleville","West Virginia","hydroelectric",42,-81.7375,39.1192
"Prospect Municipal","American Mun Power-Ohio, Inc","Prospect","Ohio","petroleum",1.8,-83.1883,40.4411
"St Francis Energy Facility","Associated Electric Coop, Inc","Campbell","Missouri","natural gas",434,-90.1779,36.5852
"River Road Gen Plant","PUD No 1 of Clark County - (WA)","Vancouver","Washington","natural gas",230,-122.7256,45.6497
"Monticello Dam","Solano Irrigation District","Winters","California","hydroelectric",11.5,-122.104444,38.513056
"Auglaize Hydro","City of Bryan - (OH)","Bryan","Ohio","hydroelectric",4.5,-84.399756,41.237206
"Pennsbury","WM Renewable Energy LLC","Morrisville","Pennsylvania","biomass",4,-74.769146,40.153128
"Washington County Cogeneration Facility","Alabama Power Co","McIntosh","Alabama","natural gas",100,-88.00267,31.26423
"General Electric Plastic","Alabama Power Co","Burkeville","Alabama","natural gas",84.5,-86.52542,32.310226
"Tiger Bay","Duke Energy Florida, LLC","Ft. Meade","Florida","natural gas",199,-81.849446,27.746369
"Dahlberg","Southern Power Co","Nicholson","Georgia","natural gas",745.6,-83.397721,34.042267
"H Allen Franklin Combined Cycle","Southern Power Co","Smiths","Alabama","natural gas",1901.8,-85.0975,32.6078
"Pea Ridge","Florida Power & Light Co","Pace","Florida","natural gas",12,-87.135391,30.59208
"Meridian","Tennessee Valley Authority","Meridian","Mississippi","petroleum",9,-88.60669,32.55078
"Theodore Cogen Facility","Alabama Power Co","Theodore","Alabama","natural gas",231,-88.128477,30.525445
"Watts Bar Nuclear Plant","Tennessee Valley Authority","Spring City","Tennessee","nuclear",2245,-84.7895,35.6021
"Nymans Plant Microgrid","Kodiak Electric Assn Inc","Kodiak","Alaska","petroleum",9.8,-152.507044,57.731608
"Coffin Butte","Pacific Northwest Generating Coop","Corvallis","Oregon","biomass",5.6,-123.2234,44.6969
"Essex","Associated Electric Coop, Inc","Essex","Missouri","natural gas",94,-89.840173,36.868206
"Goat Lake Hydro","Alaska Power and Telephone Co","Skagway","Alaska","hydroelectric",4,-135.2123,59.5357
"Black Bear Lake","Alaska Power and Telephone Co","Craig","Alaska","hydroelectric",4.5,-133.14772,55.476472
"Nodaway","Associated Electric Coop, Inc","Conception Junction","Missouri","natural gas",171,-94.7913,40.2877
"Chouteau","Associated Electric Coop, Inc","Pryor","Oklahoma","natural gas",888,-95.277064,36.222058
"South Plant","Waverly Municipal Elec Utility","Waverly","Iowa","petroleum",11.4,-92.4711,42.7317
"Georgetown","AES Indiana","Indianapolis","Indiana","natural gas",316.4,-86.24405,39.902556
"Tilton","Earthrise Energy, PBC","Tilton","Illinois","natural gas",182,-87.653818,40.106125
"Henry County","Duke Energy Indiana, LLC","New Castle","Indiana","natural gas",126,-85.5039,39.9528
"MPC Generating","MPC Generating, LLC","Monroe","Georgia","natural gas",302.5,-83.6953,33.8119
"Erie Energy Center","City of Erie - (KS)","Erie","Kansas","petroleum",20,-95.237222,37.574167
"Bloomington Power Plant","City of St George","Bloomington","Utah","petroleum",9,-113.626736,37.041997
"Sowega Power","SOWEGA Power LLC","Baconton","Georgia","natural gas",92,-84.08,31.3869
"Springview","Bluestem LLC","Springview","Nebraska","wind",3,-99.777467,42.82579
"Cleveland Peaking","American Mun Power-Ohio, Inc","Cleveland","Ohio","petroleum",10.8,-81.588233,41.556714
"Versailles Peaking","American Mun Power-Ohio, Inc","Versailles","Ohio","petroleum",5.4,-84.4769,40.2247
"Napoleon Peaking","American Mun Power-Ohio, Inc","Napoleon","Ohio","petroleum",5.4,-84.1095,41.4079
"Dover Peaking","American Mun Power-Ohio, Inc","Dover","Ohio","petroleum",10.8,-81.4985,40.5416
"Orrville Peaking","American Mun Power-Ohio, Inc","Orrville","Ohio","petroleum",5.4,-81.7586,40.86
"Bryan Peaking","American Mun Power-Ohio, Inc","Bryan","Ohio","petroleum",10.8,-84.527,41.4609
"Jackson Cntr Peaking","American Mun Power-Ohio, Inc","Jackson Center","Ohio","petroleum",1.8,-84.0401,40.4597
"Hamilton Peaking","American Mun Power-Ohio, Inc","Hamilton","Ohio","natural gas",29,-84.5183,39.3528
"Bowling Green Peaking","American Mun Power-Ohio, Inc","Bowling Green","Ohio","natural gas",29,-83.6402,41.3884
"Allegany Cogen","Allegany Generating Station, LLC","Fillmore","New York","natural gas",60,-78.0686,42.5027
"Abiquiu Dam","Los Alamos County","Abiquiu","New Mexico","hydroelectric",16.8,-106.423043,36.239886
"Bonanza","Deseret Generation & Tran Coop","Vernal","Utah","coal",470.5,-109.2844,40.0864
"Montpelier","American Mun Power-Ohio, Inc","Montpelier","Ohio","petroleum",10.8,-84.5794,41.5855
"Custer Energy Center","Manitowoc Public Utilities","Manitowoc","Wisconsin","natural gas",22,-87.726102,44.085437
"Dominion/Lo Mar","City of Manassas - (VA)","Manassas","Virginia","petroleum",15.8,-77.4974,38.7443
"Gateway Gen","City of Manassas - (VA)","Manassas","Virginia","petroleum",3.4,-77.509722,38.725278
"West Marinette 34","Madison Gas & Electric Co","Peshtigo","Wisconsin","natural gas",70.6,-87.6892,45.0869
"Sherwood H Smith Jr Energy Complex","Duke Energy Progress - (NC)","Hamlet","North Carolina","natural gas",1883,-79.7406,34.8392
"Pine Street","Village of Sebewaing - (MI)","Sebewaing","Michigan","natural gas",7.7,-83.449953,43.740164
"Hamilton Hydro","City of Hamilton - (OH)","HAMILTON","Ohio","hydroelectric",2,-84.5558,39.4128
"Argyle","City of Argyle - (WI)","Argyle","Wisconsin","petroleum",2.1,-89.8697,42.7019
"Sewell Creek Energy","Oglethorpe Power Corporation","Cedartown","Georgia","natural gas",445.8,-85.2769,33.9486
"Webb Forging","Central Electric Power","Carlisle","South Carolina","petroleum",5.2,-81.4919,34.5567
"Alsey","Prairie Power, Inc","Alsey","Illinois","natural gas",164.3,-90.43602,39.569771
"Big Quinnesec 92","Wisconsin Electric Power Co","Iron Mountain","Michigan","hydroelectric",16,-88.0408,45.7881
"Big Quinnesec 61","Wisconsin Electric Power Co","Iron Mountain","Michigan","hydroelectric",4.4,-88.0415,45.7883
"Kaukauna City Hydro","City of Kaukauna","Kaukauna","Wisconsin","hydroelectric",4.8,-88.319074,44.274582
"Rockwood","Imperial Irrigation District","Brawley","California","natural gas",42.3,-115.5364,32.9553
"Fulton (AR)","Arkansas Electric Coop Corp","Fulton","Arkansas","natural gas",153,-93.7924,33.6094
"Rowan","Southern Power Co","Salisbury","North Carolina","natural gas",974.4,-80.6019,35.7314
"Shelby North","American Mun Power-Ohio, Inc","Shelby","Ohio","petroleum",1.8,-82.6625,40.8969
"Shelby South","City of Shelby - (OH)","Shelby","Ohio","petroleum",1.8,-82.653333,40.908889
"Smarr Energy Center","Oglethorpe Power Corporation","Forsyth","Georgia","natural gas",190.4,-83.8464,32.9842
"Beaver Island","Great Lakes Energy Coop","Beaver Island","Michigan","petroleum",2.8,-85.5244,45.7291
"John S Rainey","South Carolina Public Service Authority","Starr","South Carolina","natural gas",977,-82.774478,34.347734
"Essential Power Rock Springs LLC","Essential Power Operating Services LLC","Rising Sun","Maryland","natural gas",666.7,-76.15976,39.71901
"Marsh Run Generation Facility","Old Dominion Electric Coop","Remington","Virginia","natural gas",481.3,-77.7681,38.5283
"Louisa Generation Facility","Old Dominion Electric Coop","Gordonsville","Virginia","natural gas",466,-78.2139,38.1181
"Remington","Virginia Electric & Power Co","Remington","Virginia","natural gas",603.7,-77.7714,38.5442
"Ladysmith","Virginia Electric & Power Co","Woodford","Virginia","natural gas",814,-77.5133,38.0722
"Valdez Cogen","Copper Valley Elec Assn, Inc","Valdez","Alaska","petroleum",5.1,-146.2529,61.0839
"Pleasant Valley (MN)","Great River Energy","Dexter","Minnesota","natural gas",426.3,-92.682874,43.799446
"Minnesota River","Minnesota Municipal Power Agny","Chaska","Minnesota","natural gas",39,-93.581013,44.795231
"Lagoon Creek","Tennessee Valley Authority","Brownsville","Tennessee","natural gas",1407,-89.3964,35.6578
"Brandy Branch","JEA","Baldwin","Florida","natural gas",743.2,-81.947222,30.320556
"Coon Rapids II","City of Coon Rapids","Coon Rapids","Iowa","petroleum",5.1,-94.680777,41.871043
"Holden","Associated Electric Coop, Inc","Holden","Missouri","natural gas",261,-93.9983,38.7538
"Knoxville Industrial","MidAmerican Energy Co","Knoxville","Iowa","petroleum",16,-93.060973,41.315962
"Shenandoah","MidAmerican Energy Co","Shenandoah","Iowa","petroleum",20,-95.37683,40.77069
"Waterloo Lundquist","MidAmerican Energy Co","Waterloo","Iowa","petroleum",18,-92.34558,42.506156
"West Receiving","City of Denison - (IA)","Denison","Iowa","petroleum",1.8,-95.363333,42.021667
"Avenue A Generator Sets","City of Rock Falls - (IL)","Rock Falls","Illinois","petroleum",3.6,-89.689416,41.780735
"Moorhead Wind Turbine","City of Moorhead - (MN)","Moorhead","Minnesota","wind",1.4,-96.7347,46.895
"North Generation Plant","City of Greenfield - (IA)","Greenfield","Iowa","petroleum",8,-94.455,41.3164
"Gilliam South","City of Stuart - (IA)","Stuart","Iowa","petroleum",4,-94.327222,41.496111
"Shelbina Power #3","City of Shelbina - (MO)","Shelbina","Missouri","petroleum",3.6,-92.053456,39.69755
"Power Creek","Cordova Electric Coop, Inc","Cordova","Alaska","hydroelectric",5.6,-145.604539,60.588686
"Elk Mound","Dairyland Power Coop","Elk Mound","Wisconsin","natural gas",64.6,-91.568096,44.902814
"Earlville","City of Earlville - (IA)","Earlville","Iowa","petroleum",1.8,-91.2725,42.4942
"Snoqualmie 2","Puget Sound Energy Inc","Snoqualmie","Washington","hydroelectric",33.6,-121.8414,47.5445
"Glenwood Landing","National Grid Generation LLC","Glenwood Landing","New York","natural gas",97.7,-73.6478,40.8275
"Encogen","Puget Sound Energy Inc","Bellingham","Washington","natural gas",159.4,-122.486,48.746
"Robert P Mone Plant","Buckeye Power, Inc","Convoy","Ohio","natural gas",441,-84.7392,40.9297
"H L Culbreath Bayside Power Station","Tampa Electric Co","Tampa","Florida","natural gas",1974,-82.4231,27.9072
"Edgerton","American Mun Power-Ohio, Inc","Edgerton","Ohio","petroleum",3.6,-84.767208,41.449992
"Wellington","American Mun Power-Ohio, Inc","Wellington","Ohio","petroleum",1,-82.227208,41.163069
"Powell Valley","Powell Valley Electric Coop","Kyles Ford","Tennessee","petroleum",19.8,-83.0321,36.5748
"Dakota Magic","Dakota Magic Casino","Hankinson","North Dakota","petroleum",1.5,-96.835833,45.938611
"Wind Turbine","Madison Gas & Electric Co","Casco","Wisconsin","wind",11,-87.6333,44.6694
"Terry Bundy Generating Station","Lincoln Electric System","Lincoln","Nebraska","natural gas",171.2,-96.613086,40.909653
"E B Harris Electric Generating Plant","Southern Power Co","Autaugaville","Alabama","natural gas",1314.8,-86.574366,32.381352
"Sand Hill","Austin Energy","Austin","Texas","natural gas",595.8,-97.6129,30.2098
"McCartney","City Utilities of Springfield - (MO)","Strafford","Missouri","natural gas",100,-93.170839,37.248431
"Pine Flat","Kings River Conservation Dist","Piedra","California","hydroelectric",165,-119.327,36.8326
"Vernon Boulevard","New York Power Authority","Long Island City","New York","natural gas",79.9,-73.9508,40.7537
"Joseph J Seymour Power Project","New York Power Authority","Brooklyn","New York","natural gas",79.9,-74,40.6631
"Kern Canyon","Kern and Tule Hydro LLC","Bakersfield","California","hydroelectric",11.5,-118.796498,35.44072
"Brentwood","New York Power Authority","Long Island","New York","natural gas",45,-73.293412,40.787062
"Hell Gate","New York Power Authority","Bronx","New York","natural gas",79.5,-73.9094,40.799
"Harlem River Yard","New York Power Authority","Bronx","New York","natural gas",79.5,-73.9156,40.7991
"North 1st","New York Power Authority","Brooklyn","New York","natural gas",46,-73.9664,40.7171
"Talbot County Energy","Oglethorpe Power Corporation","Box Springs","Georgia","natural gas",572.4,-84.6917,32.5892
"Chattahoochee Energy Facility","Oglethorpe Power Corporation","Franklin","Georgia","natural gas",466,-85.0386,33.4072
"Galion","American Mun Power-Ohio, Inc","Galion","Ohio","petroleum",5.4,-82.7939,40.7303
"Seville","American Mun Power-Ohio, Inc","Seville","Ohio","petroleum",5.4,-81.8714,41.0317
"Traer South","City of Traer - (IA)","Traer","Iowa","petroleum",1.8,-92.4747,42.1925
"Maquoketa 2","City of Maquoketa - (IA)","Maquoketa","Iowa","petroleum",5.1,-90.66,42.07
"Brooklyn City North Plant","City of Brooklyn - (IA)","Brooklyn","Iowa","petroleum",2,-92.4394,41.7394
"Albertville","Albertville Municipal Utilities Board","Albertville","Alabama","petroleum",3.6,-86.223889,34.363389
"Lakefield Junction","Great River Energy","Trimont","Minnesota","natural gas",497.6,-94.841451,43.798439
"South Strawberry","City of Strawberry Point","Strawberry Point","Iowa","petroleum",3.6,-91.5469,42.7114
"Buffalo Mountain","Tennessee Valley Authority","Oliver Springs","Tennessee","wind",2.1,-84.338733,36.120994
"Osawatomie","Evergy Metro","Miami","Kansas","natural gas",76.6,-94.902633,38.532161
"West Gardner","Evergy Metro","Johnson","Kansas","natural gas",314.8,-94.9861,38.7875
"Russell Energy Center","City of Russell - (KS)","Russell","Kansas","natural gas",12,-98.839444,38.899722
"Coyote Springs II","Avista Corp","Boardman","Oregon","natural gas",290,-119.673965,45.848039
"Gaylord - Wolverine","Wolverine Power Supply Coop","Gaylord","Michigan","natural gas",60.6,-84.7218,45.0046
"Industrial Park","City of Rock Falls - (IL)","Rock Falls","Illinois","petroleum",13.4,-89.674385,41.768199
"Trenton South","Trenton Municipal Utilities - (MO)","Trenton","Missouri","petroleum",13.2,-93.604363,40.067218
"Nine Canyon","Energy Northwest","Kennewick","Washington","wind",95,-119.0964,46.0958
"Ponton Diesel Generating Facility","Old Dominion Electric Coop","Amelia","Virginia","petroleum",4,-77.9862,37.2953
"Nottoway Diesel Generating Facility","Old Dominion Electric Coop","Courtland","Virginia","petroleum",4,-77.105,36.697222
"Diamond Valley Lake","Metropolitan Water District of S CA","Winchester","California","hydroelectric",29.7,-117.0698,33.6808
"Wansley Unit 9","Municipal Electric Authority","Franklin","Georgia","natural gas",465.4,-85.0403,33.4083
"Solway CT","Otter Tail Power Co","Solway","Minnesota","natural gas",43.6,-95.129652,47.544582
"Lawrence County Station","Hoosier Energy R E C, Inc","Mitchell","Indiana","natural gas",236.5,-86.4511,38.8003
"Evander Andrews Power Complex","Idaho Power Co","Mountain Home","Idaho","natural gas",262.3,-115.734315,43.179176
"Field Street","New Smyrna Beach Utilities Commission","New Smyrna Beach","Florida","petroleum",44,-80.9949,29.0213
"Elk City Station","Omaha Public Power District","Bennington","Nebraska","biomass",5.5,-96.254444,41.383889
"Sediver","Central Electric Power","York","South Carolina","petroleum",2.5,-81.1872,34.965278
"Horry Land Fill Gas Site","South Carolina Public Service Authority","Conway","South Carolina","biomass",3.3,-78.967222,33.8125
"Kemper County","Tennessee Valley Authority","De Kalb","Mississippi","natural gas",293.2,-88.606,32.7976
"Warren F Sam Beasley Generation Station","Delaware Municipal Electric Corp","Smyrna","Delaware","natural gas",98,-75.623928,39.279179
"Peno Creek","Union Electric Co - (MO)","Bowling Green","Missouri","natural gas",172,-91.2295,39.3531
"Iowa Distributed Wind Generation Project","City of Algona - (IA)","Algona","Iowa","wind",2.3,-94.140556,43.034722
"Lordsburg Generating","Public Service Co of NM","Lordsburg","New Mexico","natural gas",82.6,-108.69799,32.35051
"Pella Peaking","City of Pella - (IA)","Pella","Iowa","petroleum",25.2,-92.9378,41.4106
"Sumpter","Wolverine Power Supply Coop","Belleville","Michigan","natural gas",308.4,-83.5318,42.167
"Sharpe","Kansas Electric Power Coop Inc","Waverly","Kansas","petroleum",20,-95.6839,38.275
"Pyramid","Tri-State G & T Assn, Inc","Lordsburg","New Mexico","natural gas",158,-108.5494,32.2363
"Mulvane 2","City of Mulvane - (KS)","Mulvane","Kansas","petroleum",8.6,-97.2216,37.4908
"Granite Falls 2","City of Granite Falls - (MN)","Granite Falls","Minnesota","petroleum",6,-95.557,44.8047
"Mill Creek (SC)","Duke Energy Carolinas, LLC","Blacksburg","South Carolina","natural gas",563,-81.4306,35.1597
"South Generation","Redwood Falls Public Util Comm","Redwood Falls","Minnesota","petroleum",6.2,-95.1122,44.5331
"Kalkaska CT #1","Michigan Public Power Agency","Kalkaska","Michigan","natural gas",48.3,-85.2019,44.6889
"Greater Des Moines","MidAmerican Energy Co","Pleasant Hill","Iowa","natural gas",503.7,-93.5283,41.5563
"Lake One","City of Burbank Water and Power","Burbank","California","natural gas",48,-118.3147,34.1772
"Silver Creek","Cooperative Energy","Prentiss","Mississippi","natural gas",225,-89.9468,31.6004
"Sylvarena","Cooperative Energy","Raleigh","Mississippi","natural gas",129,-89.412714,31.982076
"Altamont","City of Altamont - (IL)","Altamont","Illinois","petroleum",7.2,-88.755547,39.068747
"West Campus Cogeneration Facility","Madison Gas & Electric Co","Madison","Wisconsin","natural gas",129.1,-89.4251,43.075071
"Airport Industrial","Black Hills Colorado Electric, LLC","Pueblo","Colorado","petroleum",10,-104.5308,38.2844
"Winston","City of Lakeland - (FL)","Lakeland","Florida","petroleum",50,-82.0164,28.0274
"Grays Harbor Energy Facility","Invenergy Services LLC","Elma","Washington","natural gas",595,-123.48,46.9692
"Beatrice","Nebraska Public Power District","Beatrice","Nebraska","natural gas",219.5,-96.808153,40.330184
"Newington","Granite Shore Power","Newington","New Hampshire","natural gas",400.2,-70.790833,43.1
"Fife Brook","Bear Swamp Power Company LLC","Florida","Massachusetts","hydroelectric",11.2,-72.977634,42.685681
"Bear Swamp","Bear Swamp Power Company LLC","Florida","Massachusetts","pumped storage",666,-72.9599,42.6839
"Roseton Generating Facility","CCI Roseton LLC","Newsburgh","New York","natural gas",1222.5,-73.966269,41.573783
"Holtsville","National Grid Generation LLC","Holtsville","New York","petroleum",532.3,-73.066265,40.817037
"Murray Turbine","City of Murray - (UT)","Murray","Utah","natural gas",36,-111.89,40.67
"Crane Clean Energy Center","Constellation Nuclear","Middletown","Pennsylvania","nuclear",802.8,-76.7232,40.1515
"Croydon CT Generating Station","Constellation Power, Inc","Bristol Twp.","Pennsylvania","petroleum",391,-74.8917,40.08
"Winter","North Central Power Co Inc","Winter","Wisconsin","petroleum",5.6,-90.97352,45.836675
"Paragould Reciprocating","Paragould Light & Water Comm","Paragould","Arkansas","natural gas",18,-90.5094,36.0242
"Factory","City of Springfield - (IL)","Springfield","Illinois","petroleum",14.7,-89.637282,39.825934
"Baldwin City Plant No 2","City of Baldwin City- (KS)","Baldwin City","Kansas","natural gas",10,-95.192006,38.764905
"Boulder Park","Avista Corp","Spokane","Washington","natural gas",24.6,-117.147222,47.697222
"Columbia (WI)","Wisconsin Power & Light Co","Pardeville","Wisconsin","coal",1131.9,-89.4203,43.4864
"Hartzog","Basin Electric Power Coop","Wright","Wyoming","natural gas",15,-105.5322,43.8294
"Blue Lake","Northern States Power Co - Minnesota","Shakopee","Minnesota","natural gas",447,-93.4315,44.7855
"Arvada","Basin Electric Power Coop","Arvada","Wyoming","natural gas",10,-106.1092,44.69
"Sycamore (IA)","MidAmerican Energy Co","Johnston","Iowa","natural gas",140.6,-93.6769,41.6722
"Barber Creek","Basin Electric Power Coop","Gillette","Wyoming","natural gas",15,-105.7689,43.7219
"Emery Station","Interstate Power and Light Co","Clear Lake","Iowa","natural gas",531.2,-93.292222,43.094
"Yankton","NorthWestern Energy - (SD)","Yankton","South Dakota","natural gas",13.5,-97.353333,42.893333
"Cooper Nuclear Station","Nebraska Public Power District","Brownville","Nebraska","nuclear",768.5,-95.6408,40.3628
"Clifton","Sunflower Electric Power Corp","Clifton","Kansas","natural gas",78.7,-97.2778,39.6125
"Belews Creek","Duke Energy Carolinas, LLC","Belews Creek","North Carolina","natural gas",2220,-80.0603,36.2811
"Anclote","Duke Energy Florida, LLC","Holiday","Florida","natural gas",1005,-82.788611,28.184444
"Intercession City","Duke Energy Florida, LLC","Intercession City","Florida","natural gas",940,-81.548611,28.262778
"Pouch","New York Power Authority","Staten Island","New York","natural gas",45.4,-74.06849,40.6182
"Gerald Andrus","Entergy Mississippi LLC","Greenville","Mississippi","natural gas",706.5,-91.1167,33.35
"Arkansas Nuclear One","Entergy Arkansas LLC","Russellville","Arkansas","nuclear",1821,-93.2351,35.311
"Waterford 1 & 2","Entergy Louisiana LLC","Killona","Louisiana","natural gas",450.2,-90.47684,29.998884
"Comanche (OK)","Public Service Co of Oklahoma","Lawton","Oklahoma","natural gas",237,-98.3244,34.5431
"DeCordova Steam Electric Station","Luminant Generation Company LLC","Granbury","Texas","natural gas",534,-97.700556,32.403056
"Jim Bridger","PacifiCorp","Point of Rocks","Wyoming","natural gas",2119,-108.7875,41.7378
"Fort Lupton","Public Service Co of Colorado","Ft. Lupton","Colorado","natural gas",88,-104.796,40.0922
"Santan","Salt River Project","Gilbert","Arizona","natural gas",1286,-111.7503,33.3325
"Huntington","PacifiCorp","Huntington","Utah","coal",909,-111.0781,39.3792
"Beaver","Portland General Electric Co","Clatskanie","Oregon","natural gas",492.8,-123.17392,46.172401
"Ellwood","Ellwood Power, LLC","Goleta","California","natural gas",54,-119.900055,34.431419
"Keahole","Hawaii Electric Light Co Inc","Kailua Kona","Hawaii","petroleum",79,-156.0283,19.7317
"Springfield (CO)","City of Springfield - (CO)","Springfield","Colorado","petroleum",2.7,-102.6217,37.4028
"Gavin Power, LLC","Gavin Power, LLC","Cheshire","Ohio","coal",2722,-82.1158,38.9347
"Halstad","City of Halstad - (MN)","Halstad","Minnesota","petroleum",3.8,-96.831911,47.350064
"Tipton","City of Tipton - (IA)","Tipton","Iowa","petroleum",9.2,-91.1321,41.7717
"Hopkinton","City of Hopkinton - (IA)","Hopkinton","Iowa","petroleum",3.8,-91.2471,42.343542
"Stanberry","City of Stanberry - (MO)","Stanberry","Missouri","natural gas",4.3,-94.542359,40.212746
"Ray D Nixon","City of Colorado Springs - (CO)","Fountain","Colorado","coal",255,-104.70577,38.633451
"Coyote","Otter Tail Power Co","Beulah","North Dakota","coal",426.4,-101.815722,47.221447
"Springerville","Tucson Electric Power Co","Springerville","Arizona","coal",1632.8,-109.1639,34.3186
"North Valmy","Sierra Pacific Power Co","Valmy","Nevada","coal",522,-117.151605,40.881317
"Seneca Generation LLC","Seneca Generation LLC","Warren","Pennsylvania","pumped storage",463.4,-79.0056,41.8389
"Hoover Dam (AZ)","U S Bureau of Reclamation","Boulder City","Arizona","hydroelectric",1039.7,-114.738006,36.01551
"Astoria Generating Station","U S Power Generating Company LLC","Astoria","New York","natural gas",1315.2,-73.912561,40.787674
"Cherry Street","Town of Hudson - (MA)","Hudson","Massachusetts","natural gas",14.6,-71.56,42.388611
"Monroe Street","Avista Corp","Spokane","Washington","hydroelectric",15,-117.420556,47.653611
"Upper Falls","Avista Corp","Spokane","Washington","hydroelectric",10.2,-117.418889,47.654444
"Nine Springs","Madison Gas & Electric Co","Madison","Wisconsin","natural gas",11.4,-89.3586,43.0386
"Newhalem","City of Seattle - (WA)","Rockport","Washington","hydroelectric",2.3,-121.240826,48.675944
"Cabot Holyoke","City of Holyoke Gas and Electric Dept.","Holyoke","Massachusetts","hydroelectric",2.1,-72.61,42.2
"Colorado Energy Nations Company","Molson Coors USA LLC","Golden","Colorado","natural gas",40,-105.215,39.7606
"Mosaic South Pierce Operations","Mosaic Fertilizer LLC","Mulberry","Florida","other",37,-81.938787,27.76522
"Dinosaur Point","International Turbine Res Inc","Los Banos","California","wind",17,-121.1708,37.0478
"Baptist Medical Center","Baptist Memorial Hospital","Jacksonville","Florida","natural gas",8.1,-81.662705,30.314467
"Covanta Hennepin Energy","Covanta Energy Co","Minneapolis","Minnesota","biomass",33.7,-93.280382,44.9833
"Lucky Peak Power Plant Project","Boise-Kuna Irrigation District","Boise","Idaho","hydroelectric",83,-116.0583,43.528
"WestRock-West Point Mill","WestRock-West Point Mill","West Point","Virginia","biomass",101,-76.8053,37.5392
"Desert Peak Power Plant","Ormat Nevada Inc","Fernley","Nevada","geothermal",17.3,-118.953497,39.753999
"Cutrale Citrus Juices USA I","Cutrale Citrus Juices USA Inc","Leesburg","Florida","natural gas",4.3,-81.865273,28.811828
"RED-Rochester, LLC","RED-Rochester, LLC","Rochester","New York","natural gas",120,-77.6319,43.1989
"Encina Water Pollution Control","Encina Joint Powers Authority","Carlsbad","California","biomass",3.2,-117.3215,33.1165
"General Electric Aircraft Engines","General Electric Aircraft Engines","Lynn","Massachusetts","solar",1.5,-70.9739,42.45
"Energy Center Dover","Cartier Energy, LLC","Dover","Delaware","natural gas",103,-75.547335,39.149549
"Gilroy Power Plant","Calpine Gilroy Cogen LP","Gilroy","California","natural gas",101,-121.5367,37.0001
"Hillsborough Hosiery","Silverstreet Hydro","Hillsboro","New Hampshire","hydroelectric",1.2,-71.894001,43.11391
"Kaweah Delta District Hospital","Kaweah Delta Hospital","Visalia","California","natural gas",3.5,-119.2947,36.3275
"Little Mac Project","Little Mac Power Company","Buhl","Idaho","hydroelectric",1.5,-114.66162,42.629637
"Fourche Creek Wastewater","Little Rock Water Reclamation Authority","Little Rock","Arkansas","biomass",1.3,-92.165,34.6968
"Fairhaven Power","DG Fairhaven Power LLC","Samoa","California","biomass",16,-124.2028,40.7995
"Wabtec U.S Rail, Grove City Engine Plant","General Electric Co","Grove City","Pennsylvania","petroleum",4.3,-80.1055,41.1694
"Mars Wrigley Confectionery US, LLC","Mars Wrigley Confectionery US, LLC","Hackettstown","New Jersey","natural gas",9.5,-74.825,40.8625
"Derby Hydro","McCallum Enterprises I LP","Shelton","Connecticut","hydroelectric",8.6,-73.102111,41.324308
