name,institution_type,latitude,longitude
270. Farmers Insurance Exchange,Fortune 500 HQ,38.67851570000001,-121.77329709999998
269. Sempra Energy,Fortune 500 HQ,32.715738,-117.16108380000004
268. Nvidia,Fortune 500 HQ,37.35410789999999,-121.95523559999998
267. Tenneco,Fortune 500 HQ,42.25863419999999,-87.84062499999999
"266. MGM Resorts International Career Center, Grier Drive, Las Vegas, NV, USA",Fortune 500 HQ,36.0712215,-115.1451887
265. Lithia Motors,Fortune 500 HQ,42.3265152,-122.8755949
264. Steel Dynamics,Fortune 500 HQ,41.079273,-85.13935129999999
"263. FirstEnergy Corp., South Main Street, Akron, OH, USA",Fortune 500 HQ,41.083384,-81.51832580000001
262. LKQ,Fortune 500 HQ,41.8781136,-87.62979819999998
261. J.C. Penney,Fortune 500 HQ,33.01984309999999,-96.69888559999998
"260. CSX Corporation, Water Street, Jacksonville, FL, USA",Fortune 500 HQ,30.3245211,-81.66405789999999
"259. Consolidated Edison Inc, East 16th Street, New York, NY, USA",Fortune 500 HQ,40.7277719,-73.97283170000003
"258. Bed Bath & Beyond, Broadway, New York, NY, USA",Fortune 500 HQ,40.7726316,-73.98187919999998
257. Murphy USA,Fortune 500 HQ,33.20763,-92.66626739999998
"256. ONEOK Field, North Elgin Avenue, Tulsa, OK, USA",Fortune 500 HQ,36.16044139999999,-95.98901519999998
"255. Edison International, Walnut Grove Avenue, Rosemead, CA, USA",Fortune 500 HQ,34.0540475,-118.08064609999995
"254. Global Partners LP, South Street, Waltham, MA, USA",Fortune 500 HQ,42.35472480000001,-71.26247969999997
"253. Discover Financial Services, Lake Cook Road, Riverwoods, IL, USA",Fortune 500 HQ,42.1567624,-87.89010969999998
252.VF,Fortune 500 HQ,36.0726354,-79.79197540000001
"251. Reinsurance Group of America Inc., Swingley Ridge Road, Chesterfield, MO, USA",Fortune 500 HQ,38.661306,-90.56653
"250. Core-Mark Holding, South San Francisco, CA, USA",Fortune 500 HQ,37.654656,-122.40774980000003
"249. Ameriprise Financial -  Minneapolis, MN, USA",Fortune 500 HQ,44.975179,-93.2691191
"221. Viacom, Broadway, New York, NY, USA",Fortune 500 HQ,40.7579353,-73.98618850000003
"247. State Street Corporation, Boston, MA, USA",Fortune 500 HQ,42.35272579999999,-71.05844430000002
"246. BB and T Corp Winston-Salem, NC, USA",Fortune 500 HQ,36.09985959999999,-80.244216
"245. BJ's Wholesale Club, Westborough, MA, USA",Fortune 500 HQ,42.2695216,-71.61612939999998
"244. Guardian Life Ins. Co. of America, New York, NY, USA",Fortune 500 HQ,40.7127753,-74.0059728
"243. Newell Brands Hoboken, NJ, USA",Fortune 500 HQ,40.7386606,-74.02771710000002
"242. Henry Schein Inc, Melville, NY, USA",Fortune 500 HQ,40.76776539999999,-73.41757710000002
"241. L Brands OH, USA",Fortune 500 HQ,39.97894369999999,-82.77903500000002
"240. Salesforce.com San Francisco, CA, USA",Fortune 500 HQ,37.7894338,-122.39649280000005
"239. ADP Roseland, Adp Boulevard, Roseland, NJ, USA",Fortune 500 HQ,40.8155809,-74.31007
"238. Dominion Energy Richmond, VA, USA",Fortune 500 HQ,37.541585,-77.43703099999999
"237.  Anadarko,The Woodlands, Texas, USA",Fortune 500 HQ,30.1658207,-95.46126249999998
"236. Alcoa Corporation, Pittsburgh, PA, USA",Fortune 500 HQ,40.4477654,-80.00113010000001
"235. Biogen, Cambridge, MA, USA",Fortune 500 HQ,42.3662897,-71.08576370000003
"234. Kellogg, Battle Creek, MI, USA",Fortune 500 HQ,42.3523378,-85.23968980000001
"233. Stryker, Kalamazoo, MI, USA",Fortune 500 HQ,42.2428207,-85.55533969999999
"232. Dish Network Englewood, CO, USA",Fortune 500 HQ,39.54598,-104.85623299999996
"231. Estee Lauder New York, NY, USA",Fortune 500 HQ,40.7623565,-73.96936119999998
"230. Las Vegas Sands Corp Las Vegas, NV, USA",Fortune 500 HQ,36.08947310000001,-115.1674317
"229. Textron, Inc.,  Providence, RI, USA",Fortune 500 HQ,41.8249766,-71.40892529999996
"228. Stanley black & decker, CT, USA",Fortune 500 HQ,41.677591,-72.76919479999998
"227. Arconic New York, NY, USA",Fortune 500 HQ,40.7127753,-74.0059728
"226. Loews Regency New York, Park Avenue, New York, NY, USA",Fortune 500 HQ,40.7645507,-73.96914400000003
"225. Qurate Retail Englewood, CO, USA",Fortune 500 HQ,39.6477653,-104.98775969999996
"224. Kinder Morgan,Houston, TX, USA",Fortune 500 HQ,29.7580033,-95.3676218
"223. Community Health Systems Franklin, TN, USA",Fortune 500 HQ,35.92506369999999,-86.8688899
"222. United States Steel Pittsburgh, PA, USA",Fortune 500 HQ,40.44062479999999,-79.99588640000002
"221. BlackRock New York, NY, USA",Fortune 500 HQ,40.7590777,-73.973614800000007
"220. DTE Energy, Detroit MI",Fortune 500 HQ,42.374059,-84.07852200000002
"219. Principal Financial Group, High Street, Des Moines, IA, USA",Fortune 500 HQ,41.5886935,-93.6275465
"218. Parker Hannifin Corp, Parkland Boulevard, Cleveland, OH, USA",Fortune 500 HQ,41.5065902,-81.46117070000003
"217. CBS Corporation, New York, NY, USA",Fortune 500 HQ,40.76118040000001,-73.97881940000002
"216. Booking Holdings Norwalk, CT, USA",Fortune 500 HQ,41.11774399999999,-73.40815750000002
"215 Ecolab, Saint Paul, MN, USA",Fortune 500 HQ,44.9463336,-93.09733319999998
"214 ITW  Glenview, IL, USA",Fortune 500 HQ,42.0579748,-87.80412189999998
"213. Waste Management - Houston Houston, TX, USA",Fortune 500 HQ,29.7561602,-95.36488179999998
"212. Land O Lakes, Lexington Avenue North, Arden Hills, MN, USA",Fortune 500 HQ,45.06266300000001,-93.150847
"210. Mastercard, Purchase, NY, USA",Fortune 500 HQ,41.0234636,-73.7142761
"210. Marsh Mclennan: Geiger Richard, 6th Avenue, New York, NY, USA",Fortune 500 HQ,40.7568777,-73.9820345
